customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,segment
12603.0,21,1,77616.0,5,1,3,Potential
12604.0,261,1,18742.5,2,1,1,Hibernating
12605.0,375,2,98905.79999999999,2,2,3,Hibernating
12606.0,681,1,2205.0,1,1,1,Hibernating
12609.0,77,7,276688.65,3,5,5,Loyal
12610.0,22,4,203651.7,5,4,4,Champions
12612.0,73,1,73924.2,4,1,3,Potential
12613.0,56,3,341320.35,4,3,5,Loyal
12615.0,167,5,428875.65,3,4,5,Loyal
12617.0,28,1,37330.65,4,1,2,Potential
12619.0,15,9,346418.1,5,5,5,Champions
12620.0,14,3,140638.05,5,3,4,Loyal
12621.0,1,24,1822125.9,5,5,5,Champions
12622.0,231,1,18910.5,2,1,1,Hibernating
12623.0,275,6,355639.2,2,4,5,At Risk
12624.0,105,2,67318.65,3,2,3,Potential
12625.0,211,2,203373.45,3,2,4,Potential
12626.0,42,7,649993.05,4,5,5,Champions
12627.0,10,5,323412.60000000003,5,4,5,Champions
12628.0,3,3,82578.29999999999,5,3,3,Loyal
12630.0,9,1,59754.45,5,1,3,Potential
12631.0,455,4,296705.85,1,4,5,At Risk
12632.0,520,1,43108.8,1,1,2,Hibernating
12633.0,129,3,330993.6,3,3,5,Loyal
12634.0,535,2,51450.0,1,2,3,Hibernating
12635.0,154,2,148571.84999999998,3,2,4,Potential
12637.0,66,8,557871.3,4,5,5,Champions
12638.0,32,2,96756.45,4,2,3,Potential
12639.0,238,3,137798.85,2,3,4,At Risk
12640.0,81,1,80281.95,3,1,3,Potential
12641.0,114,1,19519.5,3,1,1,Potential
12642.0,24,1,37259.25,5,1,2,Potential
12643.0,127,7,639914.1,3,5,5,Loyal
12644.0,129,4,201441.45,3,4,4,Loyal
12645.0,33,6,278637.45,4,4,5,Champions
12646.0,48,1,76827.45,4,1,3,Potential
12647.0,21,24,1251923.4,5,5,5,Champions
12648.0,437,3,83364.75,1,3,3,At Risk
12649.0,106,7,208776.75,3,5,4,Loyal
12650.0,2,1,33016.2,5,1,2,Potential
12651.0,334,4,39663.75,2,4,2,At Risk
12654.0,36,2,30899.4,4,2,2,Potential
12655.0,423,1,27441.75,1,1,2,Hibernating
12656.0,16,5,383986.05,5,4,5,Champions
12657.0,10,1,51567.6,5,1,3,Potential
12659.0,29,1,9626.4,4,1,1,Potential
12661.0,435,1,17010.0,1,1,1,Hibernating
12662.0,0,17,597611.7,5,5,5,Champions
12664.0,7,7,387426.9,5,5,5,Champions
12665.0,324,3,32928.0,2,3,2,At Risk
12666.0,393,1,131084.1,2,1,4,Hibernating
12667.0,57,1,65113.65,4,1,3,Potential
12668.0,258,7,818628.3,2,5,5,At Risk
12669.0,150,3,288123.15,3,3,5,Loyal
12670.0,9,5,307294.05,5,4,5,Champions
12671.0,605,1,275360.5,1,1,5,Hibernating
12672.0,329,2,45890.25,2,2,2,Hibernating
12673.0,4,3,129152.1,5,3,4,Loyal
12674.0,38,2,100659.3,4,2,3,Potential
12675.0,577,1,99303.75,1,1,3,Hibernating
12676.0,123,6,139732.95,3,4,4,Loyal
12677.0,665,1,20023.5,1,1,1,Hibernating
12678.0,41,14,2266491.15,4,5,5,Champions
12679.0,58,3,105073.5,4,3,4,Loyal
12680.0,0,1,28082.25,5,1,2,Potential
12681.0,14,28,1980540.45,5,5,5,Champions
12682.0,3,35,1696359.0,5,5,5,Champions
12683.0,3,15,933475.2,5,5,5,Champions
12684.0,63,5,170860.2,4,4,4,Champions
12685.0,57,3,169207.5,4,3,4,Loyal
12686.0,371,1,18719.4,2,1,1,Hibernating
12687.0,480,1,195185.55,1,1,4,Hibernating
12689.0,127,1,53658.15,3,1,3,Potential
12690.0,205,1,40846.05,3,1,2,Potential
12691.0,57,3,67557.0,4,3,3,Loyal
12693.0,126,4,118072.5,3,4,4,Loyal
12694.0,69,1,45167.85,4,1,2,Potential
12695.0,6,4,103583.55,5,4,4,Champions
12696.0,434,1,56149.8,1,1,3,Hibernating
12697.0,130,1,36058.05,3,1,2,Potential
12698.0,589,1,35673.75,1,1,2,Hibernating
12699.0,417,1,67001.55,2,1,3,Hibernating
12700.0,65,3,380650.2,4,3,5,Loyal
12701.0,528,2,83987.4,1,2,3,Hibernating
12702.0,19,1,22995.0,5,1,1,Potential
12703.0,70,2,39432.75,4,2,2,Potential
12704.0,21,4,93495.15,5,4,3,Loyal
12705.0,14,10,804666.45,5,5,5,Champions
12707.0,291,1,63359.1,2,1,3,Hibernating
12708.0,32,9,284621.4,4,5,5,Champions
12709.0,58,20,1863603.0,4,5,5,Champions
12710.0,96,3,120647.1,3,3,4,Loyal
12711.0,611,1,82923.75,1,1,3,Hibernating
12712.0,48,12,441005.25,4,5,5,Champions
12714.0,8,6,658165.2,5,4,5,Champions
12716.0,3,1,39436.95,5,1,2,Potential
12717.0,150,3,137435.55,3,3,4,Loyal
12719.0,4,2,67719.75,5,2,3,Potential
12720.0,23,18,407509.2,5,5,5,Champions
12721.0,31,7,342460.65,4,5,5,Champions
12722.0,114,2,65806.65,3,2,3,Potential
12723.0,64,1,3559.5,4,1,1,Potential
12724.0,4,6,186344.55,5,4,4,Champions
12726.0,27,9,367684.8,4,5,5,Champions
12727.0,10,4,249436.94999999998,5,4,5,Champions
12728.0,70,5,112367.85,4,4,4,Champions
12730.0,521,1,87071.25,1,1,3,Hibernating
12731.0,50,10,1838063.85,4,5,5,Champions
12732.0,179,1,24807.3,3,1,1,Potential
12733.0,233,3,135938.25,2,3,4,At Risk
12734.0,352,3,67163.25,2,3,3,At Risk
12737.0,498,2,389602.5,1,2,5,Hibernating
12738.0,371,1,32623.5,2,1,2,Hibernating
12739.0,98,2,130571.7,3,2,4,Potential
12740.0,63,1,44898.0,4,1,2,Potential
12741.0,532,1,24787.35,1,1,1,Hibernating
12743.0,133,1,36471.75,3,1,2,Potential
12744.0,51,9,2418750.6,4,5,5,Champions
12745.0,486,3,97168.05,1,3,3,At Risk
12746.0,540,1,26727.75,1,1,2,Hibernating
12747.0,1,17,633110.1,5,5,5,Champions
12748.0,0,194,3576508.95,5,5,5,Champions
12749.0,130,3,409305.75,3,3,5,Loyal
12750.0,128,1,28967.4,3,1,2,Potential
12751.0,444,1,28168.35,1,1,2,Hibernating
12752.0,80,1,458511.9,3,1,5,Potential
12753.0,22,5,1863643.9500000002,5,4,5,Champions
12754.0,235,3,316127.69999999995,2,3,5,At Risk
12755.0,280,6,82052.25,2,4,3,At Risk
12756.0,86,1,11768.4,3,1,1,Potential
12757.0,28,8,574595.7,4,5,5,Champions
12758.0,116,3,408191.7,3,3,5,Loyal
12759.0,51,4,224744.1,4,4,5,Champions
12761.0,457,2,82209.75,1,2,3,Hibernating
12763.0,137,2,85486.8,3,2,3,Potential
12764.0,316,1,177857.4,2,1,4,Hibernating
12765.0,525,3,64774.5,1,3,3,At Risk
12766.0,3,6,602810.25,5,4,5,Champions
12767.0,375,1,99731.1,2,1,3,Hibernating
12768.0,450,1,17712.45,1,1,1,Hibernating
12769.0,238,1,120078.0,2,1,4,Hibernating
12770.0,210,2,340877.25,3,2,5,Potential
12771.0,485,1,29641.5,1,1,2,Hibernating
12774.0,535,1,10363.5,1,1,1,Hibernating
12775.0,16,6,154525.34999999998,5,4,4,Champions
12776.0,667,1,5827.5,1,1,1,Hibernating
12778.0,182,5,97905.15,3,4,3,Loyal
12779.0,189,8,368016.6,3,5,5,Loyal
12780.0,598,1,35427.0,1,1,2,Hibernating
12781.0,284,1,57672.3,2,1,3,Hibernating
12782.0,149,6,313656.0,3,4,5,Loyal
12783.0,53,3,132725.25,4,3,4,Loyal
12784.0,8,2,135064.65,5,2,4,Potential
12785.0,363,1,32754.75,2,1,2,Hibernating
12787.0,9,3,70940.1,5,3,3,Loyal
12788.0,462,3,29799.0,1,3,2,At Risk
12789.0,64,3,28701.75,4,3,2,Loyal
12790.0,191,1,34116.6,3,1,2,Potential
12791.0,373,4,83331.15,2,4,3,At Risk
12793.0,334,2,79141.65,2,2,3,Hibernating
12795.0,18,1,45200.4,5,1,2,Potential
12796.0,627,1,40005.0,1,1,2,Hibernating
12798.0,9,3,724908.45,5,3,5,Loyal
12799.0,528,1,23031.75,1,1,1,Hibernating
12800.0,469,2,55466.25,1,2,3,Hibernating
12802.0,186,4,85258.95000000001,3,4,3,Loyal
12803.0,392,1,114745.05,2,1,4,Hibernating
12804.0,465,1,15444.45,1,1,1,Hibernating
12805.0,480,2,77453.25,1,2,3,Hibernating
12807.0,382,1,34686.75,2,1,2,Hibernating
12808.0,36,3,68328.75,4,3,3,Loyal
12809.0,177,3,184373.7,3,3,4,Loyal
12811.0,260,3,53623.5,2,3,3,At Risk
12812.0,44,1,24112.2,4,1,1,Potential
12813.0,501,2,90951.0,1,2,3,Hibernating
12815.0,147,1,47050.5,3,1,2,Potential
12816.0,175,1,33458.25,3,1,2,Potential
12817.0,399,2,55118.7,2,2,3,Hibernating
12818.0,261,1,161918.4,2,1,4,Hibernating
12820.0,43,7,190358.7,4,5,4,Champions
12821.0,213,1,9735.6,3,1,1,Potential
12823.0,126,9,286965.0,3,5,5,Loyal
12824.0,59,1,41697.6,4,1,2,Potential
12825.0,520,2,54456.15,1,2,3,Hibernating
12826.0,2,7,176541.75,5,5,4,Champions
12827.0,5,3,45165.75,5,3,2,Loyal
12828.0,2,5,95288.55,5,4,3,Loyal
12829.0,336,1,21761.25,2,1,1,Hibernating
12830.0,90,5,673503.6000000001,3,4,5,Loyal
12831.0,261,2,31973.55,2,2,2,Hibernating
12832.0,97,1,28119.0,3,1,2,Potential
12835.0,427,27,419382.6,1,5,5,At Risk
12836.0,58,12,545213.55,4,5,5,Champions
12837.0,172,2,72283.05,3,2,3,Potential
12838.0,373,6,211014.3,2,4,4,At Risk
12839.0,2,17,725744.25,5,5,5,Champions
12840.0,182,3,182490.0,3,3,4,Loyal
12841.0,4,28,582872.85,5,5,5,Champions
12842.0,308,1,32626.65,2,1,2,Hibernating
12843.0,65,19,374330.25,4,5,5,Champions
12844.0,28,3,49740.6,4,3,2,Loyal
12845.0,266,2,8421.0,2,2,1,Hibernating
12846.0,681,1,1635.9,1,1,1,Hibernating
12847.0,21,2,171874.5,5,2,4,Potential
12849.0,30,5,274918.35,4,4,5,Champions
12851.0,96,2,29833.65,3,2,2,Potential
12853.0,134,6,169108.8,3,4,4,Loyal
12854.0,240,5,248881.5,2,4,5,At Risk
12855.0,393,1,834.75,2,1,1,Hibernating
12856.0,28,3,128488.5,4,3,4,Loyal
12857.0,210,6,387240.0,3,4,5,Loyal
12859.0,458,1,60385.5,1,1,3,Hibernating
12860.0,692,1,5824.35,1,1,1,Hibernating
12861.0,619,1,7166.25,1,1,1,Hibernating
12862.0,425,2,105873.6,1,2,4,Hibernating
12863.0,378,3,172005.75,2,3,4,At Risk
12864.0,507,1,16007.25,1,1,1,Hibernating
12865.0,123,2,212575.65,3,2,4,Potential
12866.0,282,1,58707.6,2,1,3,Hibernating
12867.0,297,6,384030.15,2,4,5,At Risk
12868.0,217,5,164041.5,3,4,4,Loyal
12869.0,681,1,35455.35,1,1,2,Hibernating
12870.0,476,1,29683.5,1,1,2,Hibernating
12871.0,83,1,26107.2,3,1,2,Potential
12872.0,326,10,281573.25,2,5,5,At Risk
12873.0,281,3,212866.5,2,3,4,At Risk
12874.0,553,1,51372.3,1,1,2,Hibernating
12875.0,470,2,69249.6,1,2,3,Hibernating
12876.0,57,2,232892.1,4,2,5,Potential
12877.0,3,13,202086.15,5,5,4,Champions
12878.0,235,1,56680.05,2,1,3,Hibernating
12879.0,44,3,60188.1,4,3,3,Loyal
12880.0,381,2,67213.65,2,2,3,Hibernating
12881.0,275,1,31290.0,2,1,2,Hibernating
12882.0,8,1,104076.0,5,1,4,Potential
12883.0,24,4,73864.35,5,4,3,Loyal
12885.0,62,2,68853.75,4,2,3,Potential
12886.0,67,1,63357.0,4,1,3,Potential
12887.0,383,1,23352.0,2,1,1,Hibernating
12888.0,254,1,28639.8,2,1,2,Hibernating
12889.0,380,3,30035.25,2,3,2,At Risk
12891.0,185,5,29872.5,3,4,2,Loyal
12892.0,396,1,27654.9,2,1,2,Hibernating
12894.0,574,1,16521.75,1,1,1,Hibernating
12895.0,41,2,39144.0,4,2,2,Potential
12897.0,204,2,22732.5,3,2,1,Potential
12898.0,659,1,16623.6,1,1,1,Hibernating
12900.0,421,1,35734.65,2,1,2,Hibernating
12901.0,8,17,1322995.8,5,5,5,Champions
12904.0,17,2,53505.9,5,2,3,Potential
12905.0,576,2,106934.1,1,2,4,Hibernating
12906.0,11,2,98932.05,5,2,3,Potential
12907.0,395,1,18950.4,2,1,1,Hibernating
12908.0,380,3,107730.0,2,3,4,At Risk
12909.0,252,4,126332.85,2,4,4,At Risk
12910.0,22,9,451332.0,5,5,5,Champions
12911.0,551,1,176449.35,1,1,4,Hibernating
12912.0,7,2,79405.2,5,2,3,Potential
12913.0,4,7,334961.55,5,5,5,Champions
12914.0,400,1,23517.9,2,1,1,Hibernating
12915.0,148,4,123348.75,3,4,4,Loyal
12916.0,138,2,141030.75,3,2,4,Potential
12917.0,399,2,225424.5,2,2,5,Hibernating
12919.0,7,4,99358.35,5,4,3,Loyal
12920.0,16,3,41956.95,5,3,2,Loyal
12921.0,14,45,2307907.35,5,5,5,Champions
12922.0,160,1,42564.9,3,1,2,Potential
12923.0,63,3,82936.35,4,3,3,Loyal
12924.0,275,4,56753.55,2,4,3,At Risk
12926.0,410,2,100654.05,2,2,3,Hibernating
12928.0,34,7,284468.1,4,5,5,Champions
12930.0,77,2,43659.0,3,2,2,Potential
12931.0,22,32,6223744.8,5,5,5,Champions
12932.0,538,3,36786.75,1,3,2,At Risk
12933.0,23,8,177138.15,5,5,4,Champions
12934.0,736,1,19073.25,1,1,1,Hibernating
12935.0,1,7,179987.85,5,5,4,Champions
12936.0,16,4,111709.5,5,4,4,Champions
12937.0,14,4,185528.7,5,4,4,Champions
12938.0,25,1,11984.7,4,1,1,Potential
12939.0,63,13,1579006.8,4,5,5,Champions
12940.0,54,1,57988.35,4,1,3,Potential
12941.0,723,1,39636.45,1,1,2,Hibernating
12942.0,130,3,98978.25,3,3,3,Loyal
12944.0,35,1,33343.8,4,1,2,Potential
12945.0,287,2,94511.55,2,2,3,Hibernating
12946.0,436,1,34067.25,1,1,2,Hibernating
12947.0,143,5,168463.05,3,4,4,Loyal
12948.0,15,7,192407.25,5,5,4,Champions
12949.0,30,15,1119750.45,4,5,5,Champions
12950.0,1,2,70518.0,5,2,3,Potential
12951.0,8,9,217530.59999999998,5,5,4,Champions
12952.0,5,3,137879.7,5,3,4,Loyal
12953.0,9,1,34634.25,5,1,2,Potential
12954.0,638,1,17057.25,1,1,1,Hibernating
12955.0,16,7,363207.6,5,5,5,Champions
12956.0,305,4,54798.45,2,4,3,At Risk
12957.0,9,10,709779.0,5,5,5,Champions
12958.0,582,1,17523.45,1,1,1,Hibernating
12959.0,483,1,15849.75,1,1,1,Hibernating
12960.0,413,3,95525.85,2,3,3,At Risk
12962.0,6,2,27970.95,5,2,2,Potential
12963.0,17,7,278715.15,5,5,5,Champions
12967.0,357,3,452226.6,2,3,5,At Risk
12968.0,111,1,14274.75,3,1,1,Potential
12969.0,602,1,12857.25,1,1,1,Hibernating
12970.0,6,7,140375.55000000002,5,5,4,Champions
12971.0,3,67,1053577.35,5,5,5,Champions
12972.0,413,1,14926.8,2,1,1,Hibernating
12973.0,413,1,40482.75,2,1,2,Hibernating
12974.0,565,1,27735.75,1,1,2,Hibernating
12975.0,436,5,154010.85,1,4,4,At Risk
12976.0,211,5,246905.4,3,4,5,Loyal
12977.0,155,2,30731.4,3,2,2,Potential
12978.0,384,3,199061.1,2,3,4,At Risk
12980.0,157,12,1034491.5,3,5,5,Loyal
12981.0,132,1,19653.9,3,1,1,Potential
12982.0,242,7,250331.55000000002,2,5,5,At Risk
12983.0,597,1,51458.4,1,1,3,Hibernating
12985.0,0,2,130134.9,5,2,4,Potential
12986.0,511,4,107514.75,1,4,4,At Risk
12987.0,73,5,137782.05,4,4,4,Champions
12989.0,2,18,698097.75,5,5,5,Champions
12990.0,30,6,77805.0,4,4,3,Loyal
12991.0,22,2,48432.3,5,2,2,Potential
12992.0,724,1,9801.75,1,1,1,Hibernating
12993.0,22,5,93159.15,5,4,3,Loyal
12994.0,3,3,102314.1,5,3,4,Loyal
12995.0,84,1,22188.6,3,1,1,Potential
12996.0,375,1,37327.5,2,1,2,Hibernating
12997.0,88,5,160199.55,3,4,4,Loyal
12998.0,609,1,31909.5,1,1,2,Hibernating
12999.0,195,2,14238.0,3,2,1,Potential
13000.0,259,2,48145.65,2,2,2,Hibernating
13001.0,21,19,1509582.9,5,5,5,Champions
13002.0,317,1,12699.75,2,1,1,Hibernating
13003.0,105,1,6300.0,3,1,1,Potential
