batch_id,medicine,expiry_risk,units,value_inr
MED-00420,Insulin,Watch,50,45000
MED-00421,Insulin,Watch,50,45000
MED-00422,Insulin,Watch,50,45000
MED-00423,Insulin,Watch,50,45000
MED-00424,Insulin,Watch,50,45000
MED-00425,Insulin,Watch,50,45000
MED-00426,Insulin,Watch,50,45000
MED-00427,Insulin,Watch,50,45000
MED-00428,Insulin,Watch,50,45000
MED-00429,Insulin,Watch,50,45000
MED-00430,Insulin,Watch,50,45000
MED-00431,Insulin,Watch,50,45000
MED-00432,Insulin,Watch,50,45000
MED-00433,Insulin,Watch,50,45000
MED-00434,Insulin,Watch,50,45000
MED-00435,Insulin,Watch,50,45000
MED-00436,Insulin,Watch,50,45000
MED-00437,Insulin,Watch,50,45000
MED-00438,Insulin,Watch,50,45000
MED-00439,Insulin,Watch,50,45000
MED-00440,Insulin,Watch,50,45000
MED-00441,Insulin,Watch,50,45000
MED-00442,Insulin,Watch,50,45000
MED-00443,Insulin,Watch,50,45000
MED-00444,Insulin,Watch,50,45000
MED-00445,Insulin,Watch,50,45000
MED-00446,Insulin,Watch,50,45000
MED-00447,Insulin,Watch,50,45000
MED-00448,Insulin,Watch,50,45000
MED-00449,Insulin,Watch,50,45000
MED-00450,Insulin,Watch,50,45000
MED-00451,Insulin,Watch,50,45000
MED-00452,Insulin,Watch,50,45000
MED-00453,Insulin,Watch,50,45000
MED-00454,Insulin,Watch,50,45000
MED-00455,Insulin,Watch,50,45000
MED-00456,Insulin,Watch,50,45000
MED-00457,Insulin,Watch,50,45000
MED-00458,Insulin,Watch,50,45000
MED-00459,Insulin,Watch,50,45000
MED-00460,Insulin,Watch,50,45000
MED-00461,Insulin,Watch,50,45000
MED-00462,Insulin,Watch,50,45000
MED-00463,Insulin,Watch,50,45000
MED-00464,Insulin,Watch,50,45000
MED-00465,Insulin,Watch,50,45000
MED-00466,Insulin,Watch,50,45000
MED-00467,Insulin,Watch,50,45000
MED-00468,Insulin,Watch,50,45000
MED-00469,Insulin,Watch,50,45000
MED-00470,Insulin,Watch,50,45000
MED-00471,Insulin,Watch,50,45000
MED-00472,Insulin,Watch,50,45000
MED-00473,Insulin,Watch,50,45000
MED-00474,Insulin,Watch,50,45000
MED-00475,Insulin,Watch,50,45000
MED-00476,Insulin,Watch,50,45000
MED-00477,Insulin,Watch,50,45000
MED-00478,Insulin,Watch,50,45000
MED-00479,Insulin,Watch,50,45000
MED-00480,Insulin,Watch,50,45000
MED-00481,Insulin,Watch,50,45000
MED-00482,Insulin,Watch,50,45000
MED-00483,Insulin,Watch,50,45000
MED-00484,Insulin,OK,50,45000
MED-00485,Insulin,OK,50,45000
MED-00486,Insulin,OK,50,45000
MED-00487,Insulin,OK,50,45000
MED-00488,Insulin,OK,50,45000
MED-00489,Insulin,OK,50,45000
MED-00490,Insulin,OK,50,45000
MED-00491,Insulin,OK,50,45000
MED-00492,Insulin,OK,50,45000
MED-00493,Insulin,OK,50,45000
MED-00494,Insulin,OK,50,45000
MED-00495,Insulin,OK,50,45000
MED-00496,Insulin,OK,50,45000
MED-00497,Insulin,OK,50,45000
MED-00498,Insulin,OK,50,45000
MED-00499,Insulin,OK,50,45000
MED-00500,Insulin,OK,50,45000
MED-00501,Insulin,OK,50,45000
MED-00502,Insulin,OK,50,45000
MED-00503,Insulin,OK,50,45000
MED-00504,Insulin,OK,50,45000
MED-00505,Insulin,OK,50,45000
MED-00506,Insulin,OK,50,45000
MED-00507,Insulin,OK,50,45000
MED-00508,Insulin,OK,50,45000
MED-00509,Insulin,OK,50,45000
MED-00510,Insulin,OK,50,45000
MED-00511,Insulin,OK,50,45000
MED-00512,Insulin,OK,50,45000
MED-00513,Insulin,OK,50,45000
MED-00514,Insulin,OK,50,45000
MED-00515,Insulin,OK,50,45000
MED-00516,Insulin,OK,50,45000
MED-00517,Insulin,OK,50,45000
MED-00518,Insulin,OK,50,45000
MED-00519,Insulin,OK,50,45000
MED-00520,Insulin,OK,50,45000
MED-00521,Insulin,OK,50,45000
