customer_id,gender,age,tenure_months,monthly_income,segment,has_loan,has_card,churned,churn_score,Contract,InternetService,MonthlyCharges
8597-CWYHH,Male,51,43,84915.0,HNI,0,0,0,0.2014,One year,Fiber optic,94.35
2848-YXSMW,Male,65,72,17460.0,Mass,0,1,0,0.0272,Two year,No,19.4
0486-HECZI,Male,58,55,87075.0,HNI,1,0,1,0.8215,Month-to-month,Fiber optic,96.75
4549-ZDQYY,Female,56,52,52155.0,Affluent,0,1,0,0.1307,One year,DSL,57.95
5712-AHQNN,Female,51,43,82485.0,HNI,1,0,0,0.448,Month-to-month,Fiber optic,91.65
4846-WHAFZ,Female,68,37,68850.0,Affluent,1,0,1,0.8453,Month-to-month,Fiber optic,76.5
5256-SKJGO,Female,63,64,49140.0,Affluent,0,0,0,0.0936,Two year,DSL,54.6
3071-VBYPO,Male,29,3,80865.0,HNI,1,0,0,0.5553,Month-to-month,Fiber optic,89.85
9560-BBZXK,Female,47,36,27945.0,Mass,0,1,0,0.1406,Two year,DSL,31.05
5299-RULOA,Female,33,10,90225.0,HNI,1,0,1,0.9492,Month-to-month,Fiber optic,100.25
8402-OOOHJ,Female,50,41,18585.0,Mass,0,0,0,0.1138,Two year,No,20.65
9445-ZUEQE,Male,42,27,76680.0,HNI,1,1,0,0.4836,Month-to-month,Fiber optic,85.2
1091-SOZGA,Female,58,56,89820.0,HNI,0,1,0,0.1726,One year,Fiber optic,99.8
2928-HLDBA,Female,31,6,18630.0,Mass,1,0,0,0.4597,Month-to-month,No,20.7
0404-SWRVG,Male,29,3,66960.0,Affluent,1,0,1,0.9358,Month-to-month,Fiber optic,74.4
6497-TILVL,Female,31,7,45630.0,Affluent,1,0,0,0.4949,Month-to-month,DSL,50.7
7219-TLZHO,Female,30,4,18765.0,Mass,1,0,0,0.4654,Month-to-month,No,20.85
4622-YNKIJ,Male,46,33,80055.0,HNI,0,0,0,0.2219,Two year,Fiber optic,88.95
4412-YLTKF,Female,68,27,70245.0,Affluent,1,0,1,0.8746,Month-to-month,Fiber optic,78.05
6734-PSBAW,Male,65,72,21195.0,Mass,0,1,0,0.0325,Two year,No,23.55
3930-ZGWVE,Male,28,1,17775.0,Mass,1,0,0,0.4722,Month-to-month,No,19.75
2639-UGMAZ,Male,68,71,50805.0,Affluent,0,0,0,0.0768,One year,DSL,56.45
2876-GZYZC,Female,35,13,77355.0,HNI,1,0,0,0.523,Month-to-month,Fiber optic,85.95
6207-WIOLX,Female,41,25,52740.0,Affluent,1,1,1,0.8555,Month-to-month,DSL,58.6
8587-XYZSF,Male,64,67,45495.0,Affluent,0,1,0,0.0803,Two year,DSL,50.55
3091-FYHKI,Male,28,1,31905.0,Mass,1,0,1,0.892,Month-to-month,DSL,35.45
2372-HWUHI,Male,29,2,39915.0,Mass,1,0,1,0.9005,Month-to-month,DSL,44.35
7799-LGRDP,Female,51,43,23130.0,Mass,0,1,0,0.1147,Two year,No,25.7
7850-VWJUU,Female,40,23,67500.0,Affluent,1,1,0,0.4817,Month-to-month,Fiber optic,75.0
3774-VBNXY,Female,63,64,18180.0,Mass,0,0,0,0.0502,Two year,No,20.2
6217-KDYWC,Male,59,57,17640.0,Mass,0,0,0,0.0686,Two year,No,19.6
0390-DCFDQ,Female,68,1,63405.0,Affluent,1,0,1,0.9362,Month-to-month,Fiber optic,70.45
3146-MSEGF,Female,68,72,79245.0,HNI,0,1,0,0.114,Two year,DSL,88.05
4080-OGPJL,Female,32,8,64035.0,Affluent,1,0,1,0.918,Month-to-month,DSL,71.15
1095-WGNGG,Female,61,61,90945.0,HNI,0,1,0,0.1605,Two year,Fiber optic,101.05
2636-SJDOU,Male,63,64,75870.0,HNI,0,1,0,0.1311,One year,Fiber optic,84.3
1131-QQZEB,Male,68,71,21555.0,Mass,0,1,0,0.0357,Two year,No,23.95
5716-EZXZN,Female,63,65,89145.0,HNI,0,1,0,0.147,Two year,Fiber optic,99.05
6837-BJYDQ,Male,29,3,17640.0,Mass,0,0,0,0.2165,One year,No,19.6
2135-RXIHG,Male,28,1,41085.0,Mass,1,0,1,0.9049,Month-to-month,DSL,45.65
6440-DKQGE,Male,44,30,58050.0,Affluent,0,1,0,0.1993,One year,DSL,64.5
3466-BYAVD,Male,36,15,62550.0,Affluent,1,0,0,0.4967,Month-to-month,DSL,69.5
3780-YVMFA,Female,32,8,61695.0,Affluent,1,0,0,0.5147,Month-to-month,DSL,68.55
3874-EQOEP,Male,31,7,85500.0,HNI,1,0,1,0.9508,Month-to-month,Fiber optic,95.0
1679-JRFBR,Female,65,70,97335.0,HNI,0,1,0,0.1448,One year,Fiber optic,108.15
9073-ZZIAY,Male,62,62,77490.0,HNI,0,0,0,0.1389,Two year,DSL,86.1
3077-RSNTJ,Female,31,6,17730.0,Mass,1,0,0,0.4584,Month-to-month,No,19.7
6551-GNYDG,Female,35,14,72810.0,HNI,1,1,0,0.5138,Month-to-month,Fiber optic,80.9
9167-APMXZ,Female,40,22,75735.0,HNI,1,1,0,0.496,Month-to-month,Fiber optic,84.15
2749-CTKAJ,Male,40,22,18135.0,Mass,0,0,0,0.1652,One year,No,20.15
6371-NZYEG,Male,36,16,57825.0,Affluent,0,0,0,0.2373,Two year,DSL,64.25
7554-NEWDD,Male,33,10,23130.0,Mass,0,1,0,0.2051,Two year,No,25.7
8992-VONJD,Female,35,13,50400.0,Affluent,1,0,0,0.4851,Month-to-month,DSL,56.0
0867-MKZVY,Female,39,20,74160.0,HNI,1,0,1,0.8993,Month-to-month,Fiber optic,82.4
4482-EWFMI,Female,29,2,62730.0,Affluent,1,0,0,0.5326,Month-to-month,Fiber optic,69.7
4648-YPBTM,Male,57,53,66510.0,Affluent,0,1,0,0.1481,Two year,DSL,73.9
2907-ILJBN,Female,34,11,18540.0,Mass,0,0,0,0.1959,One year,No,20.6
6345-FZOQH,Male,65,69,17910.0,Mass,0,0,0,0.0361,Two year,No,19.9
3376-BMGFE,Female,30,4,63810.0,Affluent,1,1,1,0.9286,Month-to-month,Fiber optic,70.9
5997-OPVFA,Male,65,72,80145.0,HNI,0,1,0,0.1152,Two year,DSL,89.05
3445-HXXGF,Male,68,58,40770.0,Mass,1,0,1,0.7483,Month-to-month,DSL,45.3
1159-WFSGR,Female,36,16,18360.0,Mass,1,0,0,0.4319,Month-to-month,No,20.4
7654-YWJUF,Male,51,43,75825.0,HNI,0,1,0,0.1886,One year,Fiber optic,84.25
1875-QIVME,Female,29,2,93960.0,HNI,1,0,1,0.9764,Month-to-month,Fiber optic,104.4
6727-IOTLZ,Male,35,14,73755.0,HNI,0,0,0,0.2652,Two year,DSL,81.95
0691-JVSYA,Female,57,53,85365.0,HNI,0,1,1,0.5746,One year,Fiber optic,94.85
5918-VUKWP,Female,45,32,18495.0,Mass,0,1,0,0.1383,One year,No,20.55
1744-JHKYS,Female,46,34,22230.0,Mass,1,0,0,0.388,Month-to-month,No,24.7
2656-FMOKZ,Female,68,15,67005.0,Affluent,1,0,1,0.9029,Month-to-month,Fiber optic,74.45
2070-FNEXE,Female,68,7,68805.0,Affluent,1,1,1,0.9274,Month-to-month,Fiber optic,76.45
5947-SGKCL,Female,36,15,94815.0,HNI,1,1,0,0.542,Month-to-month,Fiber optic,105.35
3712-PKXZA,Male,61,61,18495.0,Mass,0,1,0,0.0588,One year,No,20.55
6317-YPKDH,Female,28,1,26955.0,Mass,1,1,1,0.8851,Month-to-month,DSL,29.95
6582-OIVSP,Female,28,1,40770.0,Mass,1,0,0,0.5045,Month-to-month,DSL,45.3
9367-WXLCH,Male,32,8,76050.0,HNI,1,1,1,0.9348,Month-to-month,Fiber optic,84.5
5524-KHNJP,Male,46,33,67275.0,Affluent,0,1,0,0.204,One year,DSL,74.75
1918-ZBFQJ,Female,35,13,71325.0,Affluent,1,0,1,0.9145,Month-to-month,Fiber optic,79.25
1024-GUALD,Female,28,1,22320.0,Mass,1,0,1,0.8786,Month-to-month,DSL,24.8
4827-USJHP,Male,39,20,46620.0,Affluent,1,0,0,0.4606,Month-to-month,DSL,51.8
8167-GJLRN,Male,29,3,27360.0,Mass,1,0,0,0.4802,Month-to-month,DSL,30.4
0956-SYCWG,Female,35,13,17685.0,Mass,0,0,0,0.1892,One year,No,19.65
8017-UVSZU,Female,50,40,50940.0,Affluent,1,1,0,0.4119,Month-to-month,DSL,56.6
7100-FQPRV,Male,51,43,64710.0,Affluent,0,1,0,0.173,One year,DSL,71.9
2472-OVKUP,Male,31,6,81900.0,HNI,1,0,1,0.9485,Month-to-month,Fiber optic,91.0
2984-RGEYA,Female,65,69,17775.0,Mass,0,1,0,0.0359,Two year,No,19.75
9680-NIAUV,Female,65,72,98730.0,HNI,0,1,0,0.1413,Two year,Fiber optic,109.7
2146-EGVDT,Male,60,59,17370.0,Mass,0,1,0,0.0627,Two year,No,19.3
2604-IJPDU,Female,39,20,86895.0,HNI,1,0,0,0.5172,Month-to-month,Fiber optic,96.55
9178-JHUVJ,Male,41,24,21690.0,Mass,0,1,0,0.1647,Two year,No,24.1
6168-YBYNP,Male,60,59,100215.0,HNI,1,0,0,0.429,Month-to-month,Fiber optic,111.35
7255-SSFBC,Male,65,72,101025.0,HNI,0,1,0,0.1445,Two year,Fiber optic,112.25
3645-DEYGF,Male,28,1,18675.0,Mass,1,0,0,0.4735,Month-to-month,No,20.75
9323-HGFWY,Female,42,27,91710.0,HNI,0,1,0,0.2547,One year,Fiber optic,101.9
8544-GOQSH,Female,35,14,72045.0,HNI,1,1,0,0.5128,Month-to-month,Fiber optic,80.05
3363-DTIVD,Male,65,71,94995.0,HNI,0,0,0,0.1388,Two year,Fiber optic,105.55
7018-WBJNK,Male,35,13,70470.0,Affluent,1,1,0,0.5133,Month-to-month,Fiber optic,78.3
9142-KZXOP,Male,52,44,61965.0,Affluent,1,1,0,0.4164,Month-to-month,Fiber optic,68.85
7674-YTAFD,Female,46,33,71955.0,Affluent,0,1,0,0.2106,One year,Fiber optic,79.95
6348-SNFUS,Male,65,72,49905.0,Affluent,0,1,0,0.0728,Two year,DSL,55.45
1285-OKIPP,Male,28,1,71910.0,Affluent,1,0,1,0.9482,Month-to-month,Fiber optic,79.9
7825-ECJRF,Female,38,19,95940.0,HNI,1,0,1,0.9326,Month-to-month,Fiber optic,106.6
1347-KTTTA,Male,63,64,92205.0,HNI,0,1,0,0.1541,One year,Fiber optic,102.45
7841-TZDMQ,Male,29,2,41400.0,Mass,1,1,1,0.9026,Month-to-month,DSL,46.0
4195-NZGTA,Female,28,1,22725.0,Mass,1,0,0,0.4792,Month-to-month,DSL,25.25
7157-SMCFK,Male,61,61,17775.0,Mass,0,0,0,0.0578,Two year,No,19.75
4709-LKHYG,Female,43,29,18000.0,Mass,0,0,0,0.1458,One year,No,20.0
2504-DSHIH,Male,68,23,78120.0,HNI,1,0,0,0.4966,Month-to-month,Fiber optic,86.8
0699-NDKJM,Female,59,57,52875.0,Affluent,1,1,0,0.368,Month-to-month,DSL,58.75
9286-BHDQG,Male,65,72,40725.0,Mass,0,1,0,0.0599,Two year,DSL,45.25
0230-WEQUW,Male,64,66,50940.0,Affluent,0,1,0,0.0907,Two year,DSL,56.6
2040-LDIWQ,Male,63,65,75780.0,HNI,0,1,0,0.1283,Two year,DSL,84.2
6496-JDSSB,Female,32,8,72000.0,HNI,1,1,0,0.5291,Month-to-month,Fiber optic,80.0
9408-SSNVZ,Female,30,4,63135.0,Affluent,1,0,1,0.9277,Month-to-month,Fiber optic,70.15
4443-EMBNA,Female,65,71,22275.0,Mass,0,1,0,0.0367,Two year,No,24.75
6469-MRVET,Male,28,1,18180.0,Mass,0,0,0,0.2228,One year,No,20.2
0742-MOABM,Male,30,4,45045.0,Affluent,1,0,1,0.9023,Month-to-month,DSL,50.05
5961-VUSRV,Female,34,12,17415.0,Mass,0,1,0,0.1916,One year,No,19.35
6778-JFCMK,Male,41,24,45540.0,Affluent,0,0,0,0.1982,One year,DSL,50.6
6341-JVQGF,Female,45,31,73035.0,HNI,0,0,0,0.2176,One year,DSL,81.15
2232-DMLXU,Female,28,1,49680.0,Affluent,1,0,1,0.917,Month-to-month,DSL,55.2
4811-JBUVU,Male,44,30,80910.0,HNI,1,1,0,0.4814,Month-to-month,Fiber optic,89.9
0945-TSONX,Female,53,47,76770.0,HNI,0,1,0,0.179,Two year,DSL,85.3
2651-ZCBXV,Male,57,54,97200.0,HNI,0,1,0,0.1885,Two year,Fiber optic,108.0
3316-UWXUY,Male,55,50,84150.0,HNI,1,1,0,0.4311,Month-to-month,Fiber optic,93.5
8937-RDTHP,Male,28,1,76140.0,HNI,1,0,1,0.9541,Month-to-month,Fiber optic,84.6
7083-MIOPC,Female,65,72,18225.0,Mass,0,1,0,0.0283,Two year,No,20.25
1984-GPTEH,Female,43,29,22635.0,Mass,1,0,0,0.4023,Month-to-month,No,25.15
1251-KRREG,Male,29,2,48960.0,Affluent,1,0,1,0.9132,Month-to-month,DSL,54.4
0621-JFHOL,Female,33,10,26640.0,Mass,0,0,0,0.21,Two year,DSL,29.6
9903-LYSAB,Male,37,18,65835.0,Affluent,1,0,0,0.4931,Month-to-month,Fiber optic,73.15
0094-OIFMO,Female,68,11,85500.0,HNI,1,0,1,0.9399,Month-to-month,Fiber optic,95.0
9227-UAQFT,Male,36,16,17775.0,Mass,0,0,0,0.1811,Two year,No,19.75
7301-ABVAD,Female,65,72,77940.0,HNI,0,1,0,0.1121,Two year,DSL,86.6
6614-FHDBO,Male,65,72,98280.0,HNI,0,1,0,0.1407,Two year,Fiber optic,109.2
7576-ASEJU,Female,50,41,67230.0,Affluent,0,1,0,0.182,One year,DSL,74.7
9058-HRZSV,Female,68,65,84960.0,HNI,1,0,0,0.3912,Month-to-month,Fiber optic,94.4
4522-AKYLR,Female,68,13,49320.0,Affluent,1,0,0,0.4836,Month-to-month,DSL,54.8
0221-WMXNQ,Male,68,4,67815.0,Affluent,1,0,0,0.5342,Month-to-month,Fiber optic,75.35
0303-UNCIP,Male,50,41,58500.0,Affluent,0,0,0,0.1698,One year,DSL,65.0
9947-OTFQU,Male,68,15,66960.0,Affluent,1,0,1,0.9029,Month-to-month,Fiber optic,74.4
0322-YINQP,Male,28,1,43695.0,Mass,1,0,1,0.9086,Month-to-month,DSL,48.55
0959-WHOKV,Male,51,42,89100.0,HNI,0,0,0,0.21,One year,Fiber optic,99.0
4075-JFPGR,Female,56,51,84150.0,HNI,0,0,0,0.1784,One year,Fiber optic,93.5
4629-NRXKX,Female,29,2,63360.0,Affluent,1,0,1,0.9334,Month-to-month,Fiber optic,70.4
9514-JDSKI,Male,68,1,36180.0,Mass,1,0,1,0.898,Month-to-month,DSL,40.2
3282-ZISZV,Male,45,32,75330.0,HNI,0,1,0,0.2181,One year,DSL,83.7
3675-YDUPJ,Male,33,10,17865.0,Mass,1,0,0,0.4477,Month-to-month,No,19.85
4111-BNXIF,Female,64,67,53595.0,Affluent,0,0,0,0.0917,Two year,DSL,59.55
7017-VFHAY,Female,61,61,103590.0,HNI,0,1,0,0.1783,Two year,Fiber optic,115.1
6655-LHBYW,Male,55,50,102915.0,HNI,0,1,0,0.2075,One year,Fiber optic,114.35
4959-JOSRX,Female,29,2,40140.0,Mass,1,1,1,0.9009,Month-to-month,DSL,44.6
5046-NUHWD,Female,68,29,40500.0,Mass,1,0,0,0.4274,Month-to-month,DSL,45.0
7273-TEFQD,Male,68,3,37035.0,Mass,1,0,1,0.8938,Month-to-month,DSL,41.15
3606-TWKGI,Male,68,13,96210.0,HNI,1,0,1,0.9494,Month-to-month,Fiber optic,106.9
7529-ZDFXI,Male,68,57,80865.0,HNI,1,0,0,0.4073,Month-to-month,Fiber optic,89.85
7605-BDWDC,Female,45,31,44865.0,Mass,0,1,0,0.178,Two year,DSL,49.85
1950-KSVVJ,Female,52,45,101970.0,HNI,0,0,0,0.2198,One year,Fiber optic,113.3
0123-CRBRT,Female,61,61,79290.0,HNI,0,0,0,0.1442,Two year,DSL,88.1
6292-TOSSS,Male,55,50,22410.0,Mass,0,1,0,0.0945,Two year,No,24.9
3197-ARFOY,Female,68,19,94500.0,HNI,1,0,0,0.5306,Month-to-month,Fiber optic,105.0
6323-AYBRX,Male,60,59,17415.0,Mass,0,0,1,0.4628,Two year,No,19.35
7014-ZZXAW,Female,65,71,21825.0,Mass,0,1,0,0.0361,Two year,No,24.25
4385-GZQXV,Female,68,16,85005.0,HNI,1,0,1,0.9255,Month-to-month,Fiber optic,94.45
7633-MVPUY,Male,59,57,53775.0,Affluent,0,0,0,0.1193,Two year,DSL,59.75
6366-ZGQGL,Male,28,1,22320.0,Mass,1,1,1,0.8786,Month-to-month,DSL,24.8
4716-HHKQH,Male,68,20,96345.0,HNI,1,0,0,0.5304,Month-to-month,Fiber optic,107.05
