loan_id,product,principal_inr,duration_months,credit_score,dti_ratio,age,default_flag,risk_score,purpose
GL-00029,Personal,217350.0,7,707,0.24,34,0,0.2069,domestic appliances
GL-00030,Personal,615240.0,60,640,0.31,63,1,0.7953,others
GL-00031,Personal,172170.0,18,709,0.24,36,0,0.2047,others
GL-00032,Personal,361800.0,24,715,0.16,27,0,0.182,radio/television
GL-00033,Auto,527940.0,18,717,0.16,30,0,0.1798,car (new)
GL-00034,Personal,113760.0,12,729,0.32,57,0,0.1984,others
GL-00035,Personal,132660.0,12,695,0.32,33,0,0.2362,radio/television
GL-00036,Personal,427140.0,45,605,0.39,25,1,0.8502,domestic appliances
GL-00037,Personal,549900.0,48,750,0.08,31,0,0.1271,retraining
GL-00038,Personal,189000.0,18,612,0.39,37,1,0.8424,domestic appliances
GL-00039,Personal,110250.0,10,721,0.16,37,0,0.1753,repairs
GL-00040,Personal,41220.0,9,689,0.32,24,0,0.2429,domestic appliances
GL-00041,Personal,209970.0,30,713,0.32,30,0,0.2162,domestic appliances
GL-00042,Personal,104220.0,12,703,0.24,26,0,0.2113,domestic appliances
GL-00043,Home,558360.0,18,725,0.16,44,0,0.1709,education
GL-00044,Auto,556830.0,30,725,0.08,24,0,0.1549,car (used)
GL-00045,Auto,552870.0,48,625,0.39,58,1,0.828,car (used)
GL-00046,Auto,125370.0,11,716,0.32,35,0,0.2129,car (new)
GL-00047,Personal,206910.0,36,718,0.32,39,0,0.2107,domestic appliances
GL-00048,Auto,121680.0,6,725,0.08,23,0,0.1549,car (used)
GL-00049,Auto,650520.0,11,754,0.08,39,0,0.1227,car (new)
GL-00050,Personal,186570.0,12,712,0.32,28,0,0.2173,domestic appliances
GL-00051,Personal,209970.0,24,692,0.32,29,0,0.2396,radio/television
GL-00052,Auto,536850.0,27,729,0.08,30,0,0.1504,car (used)
GL-00053,Personal,113580.0,12,722,0.24,25,0,0.1902,domestic appliances
GL-00054,Auto,304020.0,18,738,0.16,31,0,0.1564,car (used)
GL-00055,Auto,200250.0,36,624,0.39,57,1,0.8291,car (new)
GL-00056,Auto,70470.0,6,747,0.08,26,0,0.1304,car (new)
GL-00057,Personal,582120.0,12,645,0.23,52,1,0.7738,domestic appliances
GL-00058,Personal,860940.0,36,738,0.16,31,0,0.1564,domestic appliances
GL-00059,Auto,176490.0,18,701,0.24,23,0,0.2136,car (new)
GL-00060,Personal,560610.0,36,604,0.39,23,1,0.8513,radio/television
GL-00061,Personal,125190.0,9,715,0.16,27,0,0.182,others
GL-00062,Personal,138330.0,15,705,0.32,50,0,0.2251,domestic appliances
GL-00063,Personal,175770.0,36,627,0.39,61,1,0.8258,others
GL-00064,Personal,1297890.0,48,629,0.23,25,1,0.7916,others
GL-00065,Personal,286290.0,24,711,0.32,26,0,0.2184,domestic appliances
GL-00066,Personal,467100.0,27,724,0.32,48,0,0.204,education
GL-00067,Personal,195390.0,12,736,0.16,29,0,0.1587,domestic appliances
GL-00068,Auto,90630.0,12,688,0.32,22,0,0.244,car (new)
GL-00069,Personal,163710.0,36,632,0.39,37,1,0.8202,retraining
GL-00070,Personal,215460.0,36,710,0.32,25,0,0.2196,domestic appliances
GL-00071,Auto,731970.0,36,749,0.08,30,0,0.1282,car (used)
GL-00072,Personal,65700.0,7,723,0.32,46,0,0.2051,domestic appliances
GL-00073,Personal,104760.0,8,718,0.24,51,0,0.1947,furniture/equipment
GL-00074,Home,535860.0,42,724,0.16,41,0,0.172,others
GL-00075,Personal,177930.0,36,614,0.39,40,1,0.8402,retraining
GL-00076,Auto,137340.0,12,715,0.32,66,0,0.214,car (used)
GL-00077,Personal,356850.0,42,610,0.39,34,1,0.8447,domestic appliances
GL-00078,Personal,429390.0,11,730,0.16,51,0,0.1653,domestic appliances
GL-00079,Auto,849240.0,54,742,0.16,39,0,0.152,car (used)
GL-00080,Personal,344880.0,30,712,0.16,22,0,0.1853,radio/television
GL-00081,Personal,534870.0,24,672,0.15,44,1,0.7278,domestic appliances
GL-00082,Personal,109170.0,15,723,0.32,47,0,0.2051,domestic appliances
GL-00083,Personal,141120.0,18,721,0.24,24,0,0.1913,others
GL-00084,Personal,157950.0,24,710,0.32,58,0,0.2196,furniture/equipment
GL-00085,Personal,208350.0,10,718,0.24,52,0,0.1947,domestic appliances
GL-00086,Personal,127080.0,12,712,0.32,29,0,0.2173,others
GL-00087,Personal,116550.0,18,691,0.32,27,0,0.2407,radio/television
GL-00088,Personal,1135080.0,36,654,0.15,47,1,0.7478,retraining
GL-00089,Auto,202410.0,18,693,0.32,30,0,0.2384,car (new)
GL-00090,Personal,99720.0,12,607,0.39,28,1,0.848,education
GL-00091,Personal,55620.0,12,729,0.32,56,0,0.1984,domestic appliances
GL-00092,Auto,126810.0,12,707,0.32,54,0,0.2229,car (used)
GL-00093,Personal,71730.0,12,630,0.39,33,1,0.8224,domestic appliances
GL-00094,Personal,325530.0,24,687,0.32,20,0,0.2451,radio/television
GL-00095,Auto,118620.0,12,707,0.32,54,0,0.2229,car (new)
GL-00096,Personal,1435050.0,54,637,0.31,58,1,0.7987,others
GL-00097,Personal,181080.0,12,732,0.32,61,0,0.1951,retraining
GL-00098,Personal,235980.0,18,695,0.32,34,0,0.2362,others
GL-00099,Personal,210330.0,36,697,0.32,36,0,0.234,domestic appliances
GL-00100,Auto,635130.0,20,709,0.24,36,0,0.2047,car (used)
GL-00101,Auto,132210.0,24,720,0.32,41,0,0.2084,car (new)
GL-00102,Personal,209070.0,36,689,0.32,24,0,0.2429,domestic appliances
GL-00103,Personal,83880.0,6,721,0.24,24,0,0.1913,domestic appliances
GL-00104,Personal,172710.0,9,696,0.32,35,0,0.2351,radio/television
GL-00105,Auto,220050.0,12,735,0.16,26,0,0.1598,car (used)
GL-00106,Personal,1074420.0,24,637,0.23,39,1,0.7827,furniture/equipment
GL-00107,Auto,581220.0,18,657,0.23,39,1,0.7604,car (new)
GL-00108,Auto,547020.0,12,718,0.16,32,0,0.1787,car (new)
GL-00109,Personal,694890.0,24,729,0.08,30,0,0.1504,radio/television
GL-00110,Personal,126900.0,14,732,0.08,35,0,0.1471,others
GL-00111,Personal,130410.0,6,730,0.08,31,0,0.1493,others
GL-00112,Personal,35280.0,15,689,0.32,23,0,0.2429,retraining
GL-00113,Home,563400.0,18,704,0.24,28,0,0.2102,car (new)
GL-00114,Home,706950.0,36,625,0.39,25,1,0.828,car (new)
GL-00115,Personal,151200.0,12,708,0.24,35,0,0.2058,domestic appliances
GL-00116,Personal,322020.0,48,723,0.32,47,0,0.2051,domestic appliances
GL-00117,Personal,645660.0,42,608,0.39,30,1,0.8469,domestic appliances
GL-00118,Personal,191880.0,10,715,0.16,27,0,0.182,radio/television
GL-00119,Personal,385290.0,33,640,0.15,23,1,0.7633,radio/television
GL-00120,Auto,212940.0,12,709,0.24,36,0,0.2047,car (new)
GL-00121,Personal,165150.0,21,617,0.31,25,1,0.8209,domestic appliances
GL-00122,Auto,348120.0,24,720,0.32,41,0,0.2084,car (used)
GL-00123,Personal,159120.0,12,721,0.24,24,0,0.1913,radio/television
GL-00124,Auto,70290.0,10,713,0.32,63,0,0.2162,car (new)
GL-00125,Personal,173160.0,18,606,0.39,27,1,0.8491,radio/television
GL-00126,Auto,190890.0,12,693,0.32,30,0,0.2384,car (new)
GL-00127,Personal,63090.0,12,699,0.32,40,0,0.2318,domestic appliances
GL-00128,Personal,57510.0,12,608,0.39,30,1,0.8469,education
GL-00129,Auto,167400.0,12,695,0.32,34,0,0.2362,car (used)
GL-00130,Auto,314910.0,12,619,0.31,29,1,0.8187,car (new)
GL-00131,Auto,763830.0,48,725,0.08,24,0,0.1549,car (new)
GL-00132,Personal,619830.0,36,607,0.39,29,1,0.848,retraining
GL-00133,Personal,243720.0,15,735,0.16,27,0,0.1598,radio/television
GL-00134,Personal,178560.0,18,723,0.32,47,0,0.2051,radio/television
GL-00135,Home,912960.0,60,732,0.16,21,0,0.1631,domestic appliances
GL-00136,Personal,111600.0,12,718,0.32,38,0,0.2107,domestic appliances
GL-00137,Auto,775170.0,27,735,0.16,27,0,0.1598,car (used)
GL-00138,Personal,68940.0,12,630,0.39,66,1,0.8224,domestic appliances
GL-00139,Personal,245520.0,15,696,0.32,35,0,0.2351,domestic appliances
GL-00140,Personal,169290.0,12,725,0.16,44,0,0.1709,domestic appliances
GL-00141,Auto,63810.0,6,715,0.16,27,0,0.182,car (new)
GL-00142,Personal,431550.0,36,693,0.32,30,0,0.2384,domestic appliances
GL-00143,Personal,307440.0,27,703,0.24,27,0,0.2113,domestic appliances
GL-00144,Personal,221580.0,18,627,0.23,22,1,0.7938,radio/television
GL-00145,Personal,205920.0,21,709,0.32,23,0,0.2207,radio/television
GL-00146,Personal,320940.0,48,693,0.32,30,0,0.2384,others
GL-00147,Auto,77400.0,6,734,0.08,39,0,0.1449,car (new)
GL-00148,Auto,61380.0,12,726,0.32,51,0,0.2018,car (new)
GL-00149,Personal,483390.0,36,704,0.24,28,0,0.2102,radio/television
GL-00150,Personal,142380.0,18,723,0.32,46,0,0.2051,domestic appliances
GL-00151,Personal,121140.0,6,744,0.16,42,0,0.1498,domestic appliances
GL-00152,Personal,173160.0,10,754,0.08,38,0,0.1227,domestic appliances
GL-00153,Personal,526320.0,36,689,0.32,24,0,0.2429,domestic appliances
GL-00154,Auto,698220.0,24,716,0.16,29,0,0.1809,car (used)
GL-00155,Personal,627030.0,24,697,0.32,36,0,0.234,others
GL-00156,Personal,115380.0,12,626,0.23,20,1,0.7949,radio/television
GL-00157,Personal,115920.0,9,716,0.24,48,0,0.1969,education
GL-00158,Business,30510.0,12,702,0.32,45,0,0.2284,business
GL-00159,Auto,316080.0,24,722,0.16,38,0,0.1742,car (new)
GL-00160,Personal,170820.0,6,751,0.08,34,0,0.126,domestic appliances
GL-00161,Personal,258480.0,24,729,0.24,36,0,0.1824,domestic appliances
GL-00162,Auto,94950.0,18,713,0.32,30,0,0.2162,car (new)
GL-00163,Personal,113580.0,15,717,0.32,36,0,0.2118,repairs
GL-00164,Auto,657720.0,10,741,0.16,70,0,0.1531,car (new)
GL-00165,Auto,81810.0,36,717,0.32,36,0,0.2118,car (new)
GL-00166,Personal,268020.0,6,750,0.08,32,0,0.1271,radio/television
GL-00167,Personal,101790.0,18,610,0.39,33,1,0.8447,radio/television
GL-00168,Personal,141930.0,11,687,0.32,20,0,0.2451,radio/television
GL-00169,Personal,357480.0,24,734,0.16,25,0,0.1609,radio/television
GL-00170,Personal,174150.0,24,609,0.39,31,1,0.8458,others
GL-00171,Auto,85500.0,15,610,0.39,33,1,0.8447,car (new)
GL-00172,Personal,68670.0,12,711,0.32,26,0,0.2184,radio/television
GL-00173,Personal,185760.0,24,622,0.31,34,1,0.8153,radio/television
GL-00174,Personal,127260.0,8,695,0.32,33,0,0.2362,domestic appliances
GL-00175,Personal,307260.0,21,630,0.23,26,1,0.7904,retraining
GL-00176,Home,673650.0,30,642,0.39,53,1,0.8091,car (used)
GL-00177,Personal,231930.0,12,724,0.16,42,0,0.172,radio/television
GL-00178,Personal,30420.0,6,706,0.32,52,0,0.224,domestic appliances
GL-00179,Personal,176670.0,12,714,0.32,31,0,0.2151,domestic appliances
GL-00180,Auto,51390.0,21,714,0.32,65,0,0.2151,car (new)
GL-00181,Personal,861480.0,36,663,0.15,28,1,0.7378,others
GL-00182,Home,400950.0,36,632,0.23,30,1,0.7882,others
GL-00183,Auto,148230.0,21,614,0.39,40,1,0.8402,car (new)
GL-00184,Personal,339930.0,24,725,0.32,50,0,0.2029,radio/television
GL-00185,Auto,79560.0,18,612,0.39,36,1,0.8424,car (new)
GL-00186,Personal,122400.0,15,714,0.32,31,0,0.2151,domestic appliances
GL-00187,Auto,461610.0,9,658,0.23,74,1,0.7593,car (used)
GL-00188,Auto,105750.0,16,740,0.16,68,0,0.1542,car (new)
GL-00189,Personal,60660.0,12,602,0.39,20,1,0.8536,domestic appliances
GL-00190,Personal,291960.0,18,731,0.08,33,0,0.1482,radio/television
GL-00191,Personal,413190.0,24,666,0.23,54,1,0.7504,others
GL-00192,Personal,345960.0,48,610,0.39,34,1,0.8447,others
GL-00193,Personal,352350.0,27,612,0.39,36,1,0.8424,others
GL-00194,Personal,189720.0,6,736,0.16,29,0,0.1587,domestic appliances
GL-00195,Personal,272790.0,45,603,0.39,21,1,0.8524,domestic appliances
GL-00196,Personal,135090.0,9,634,0.23,34,1,0.786,retraining
GL-00197,Personal,124380.0,6,748,0.08,28,0,0.1293,domestic appliances
GL-00198,Personal,85590.0,12,606,0.39,27,1,0.8491,radio/television
GL-00199,Auto,248400.0,24,697,0.32,36,0,0.234,car (used)
GL-00200,Personal,386730.0,18,614,0.39,40,1,0.8402,radio/television
GL-00201,Personal,84240.0,9,726,0.32,52,0,0.2018,retraining
GL-00202,Auto,105120.0,12,691,0.32,27,0,0.2407,car (new)
GL-00203,Personal,460530.0,27,723,0.24,26,0,0.1891,others
GL-00204,Business,81180.0,12,603,0.39,21,1,0.8524,business
GL-00205,Auto,134550.0,12,718,0.32,38,0,0.2107,car (new)
GL-00206,Auto,956070.0,30,710,0.24,38,0,0.2036,car (used)
GL-00207,Personal,174150.0,12,721,0.32,43,0,0.2073,radio/television
GL-00208,Personal,128160.0,12,691,0.32,26,0,0.2407,repairs
GL-00209,Personal,591120.0,24,712,0.16,21,0,0.1853,others
GL-00210,Auto,127170.0,12,740,0.24,55,0,0.1702,car (used)
GL-00211,Personal,276660.0,9,751,0.08,33,0,0.126,domestic appliances
GL-00212,Personal,345150.0,36,746,0.16,45,0,0.1476,domestic appliances
GL-00213,Personal,476370.0,27,644,0.23,50,1,0.7749,others
GL-00214,Personal,171720.0,30,630,0.39,66,1,0.8224,others
GL-00215,Personal,300780.0,36,726,0.32,51,0,0.2018,domestic appliances
GL-00216,Business,83880.0,6,734,0.08,39,0,0.1449,business
GL-00217,Personal,279360.0,18,706,0.24,31,0,0.208,others
GL-00218,Personal,352170.0,36,713,0.16,23,0,0.1842,domestic appliances
GL-00219,Personal,271890.0,24,713,0.16,24,0,0.1842,radio/television
GL-00220,Auto,122760.0,10,757,0.16,64,0,0.1353,car (new)
GL-00221,Personal,56250.0,12,691,0.32,26,0,0.2407,domestic appliances
GL-00222,Personal,108000.0,12,689,0.32,23,0,0.2429,retraining
GL-00223,Personal,63630.0,12,713,0.32,30,0,0.2162,domestic appliances
GL-00224,Personal,268020.0,24,714,0.32,32,0,0.2151,others
GL-00225,Auto,419130.0,15,725,0.24,30,0,0.1869,car (used)
GL-00226,Personal,235170.0,36,711,0.32,27,0,0.2184,education
GL-00227,Personal,986490.0,48,642,0.15,27,1,0.7611,domestic appliances
GL-00228,Personal,707850.0,12,622,0.39,53,1,0.8313,radio/television
GL-00229,Personal,133020.0,9,623,0.39,22,1,0.8302,domestic appliances
GL-00230,Personal,283410.0,24,688,0.32,22,0,0.244,radio/television
GL-00231,Personal,378900.0,36,606,0.39,26,1,0.8491,domestic appliances
GL-00232,Auto,225630.0,9,750,0.16,51,0,0.1431,car (new)
GL-00233,Personal,192690.0,12,728,0.24,35,0,0.1836,domestic appliances
GL-00234,Personal,77940.0,18,690,0.32,25,0,0.2418,domestic appliances
GL-00235,Personal,138960.0,4,744,0.16,42,0,0.1498,domestic appliances
GL-00236,Personal,164070.0,24,608,0.39,30,1,0.8469,domestic appliances
GL-00237,Auto,1309950.0,6,640,0.15,23,1,0.7633,car (new)
GL-00238,Personal,249030.0,21,627,0.39,61,1,0.8258,others
GL-00239,Personal,116190.0,12,716,0.32,35,0,0.2129,domestic appliances
GL-00240,Personal,226980.0,30,734,0.08,39,0,0.1449,domestic appliances
GL-00241,Auto,82350.0,24,607,0.39,29,1,0.848,car (new)
GL-00242,Personal,143550.0,6,738,0.24,51,0,0.1724,domestic appliances
GL-00243,Auto,414450.0,48,616,0.31,24,1,0.822,car (used)
GL-00244,Personal,106650.0,12,723,0.24,27,0,0.1891,others
GL-00245,Business,310230.0,12,716,0.32,35,0,0.2129,business
GL-00246,Personal,113220.0,24,710,0.32,25,0,0.2196,others
GL-00247,Personal,64530.0,12,726,0.32,52,0,0.2018,domestic appliances
GL-00248,Auto,108360.0,6,716,0.32,35,0,0.2129,car (new)
GL-00249,Personal,173250.0,24,715,0.16,26,0,0.182,radio/television
GL-00250,Personal,38970.0,18,635,0.31,22,1,0.8009,domestic appliances
GL-00251,Auto,59940.0,6,710,0.24,39,0,0.2036,car (new)
GL-00252,Personal,202590.0,12,739,0.08,46,0,0.1393,radio/television
GL-00253,Auto,193500.0,30,604,0.39,24,1,0.8513,car (new)
GL-00254,Personal,373590.0,24,740,0.16,35,0,0.1542,radio/television
GL-00255,Personal,182700.0,9,713,0.16,24,0,0.1842,radio/television
GL-00256,Home,667620.0,60,727,0.08,27,0,0.1527,domestic appliances
GL-00257,Personal,241560.0,24,716,0.32,35,0,0.2129,domestic appliances
GL-00258,Personal,193410.0,12,607,0.39,29,1,0.848,domestic appliances
GL-00259,Auto,343080.0,15,745,0.08,23,0,0.1327,car (used)
GL-00260,Personal,103860.0,11,729,0.32,57,0,0.1984,domestic appliances
GL-00261,Personal,149130.0,12,715,0.16,27,0,0.182,radio/television
GL-00262,Personal,144270.0,24,708,0.32,55,0,0.2218,domestic appliances
GL-00263,Auto,477180.0,18,721,0.16,36,0,0.1753,car (new)
GL-00264,Personal,247320.0,12,753,0.16,57,0,0.1398,retraining
GL-00265,Auto,110790.0,10,726,0.24,32,0,0.1858,car (new)
GL-00266,Personal,72180.0,15,612,0.39,37,1,0.8424,domestic appliances
GL-00267,Home,567360.0,36,717,0.32,36,0,0.2118,others
GL-00268,Personal,137970.0,24,718,0.32,38,0,0.2107,domestic appliances
GL-00269,Auto,808020.0,14,653,0.15,45,1,0.7489,car (new)
GL-00270,Personal,89910.0,24,710,0.32,25,0,0.2196,domestic appliances
GL-00271,Auto,239580.0,18,714,0.32,32,0,0.2151,car (new)
GL-00272,Personal,126180.0,12,729,0.24,37,0,0.1824,radio/television
GL-00273,Auto,1095210.0,48,697,0.32,36,0,0.234,car (new)
GL-00274,Personal,275400.0,48,607,0.39,28,1,0.848,domestic appliances
GL-00275,Personal,1079820.0,30,646,0.15,34,1,0.7567,education
GL-00276,Personal,242730.0,9,750,0.08,32,0,0.1271,domestic appliances
GL-00277,Personal,216360.0,18,735,0.16,26,0,0.1598,domestic appliances
GL-00278,Personal,113580.0,12,728,0.16,49,0,0.1676,radio/television
GL-00279,Personal,414990.0,6,665,0.15,32,1,0.7356,radio/television
GL-00280,Personal,171090.0,24,712,0.32,29,0,0.2173,domestic appliances
GL-00281,Auto,303120.0,15,721,0.24,23,0,0.1913,car (used)
GL-00282,Personal,141660.0,12,725,0.32,50,0,0.2029,radio/television
GL-00283,Personal,130050.0,18,704,0.32,49,0,0.2262,domestic appliances
GL-00284,Personal,136800.0,15,733,0.32,63,0,0.194,radio/television
GL-00285,Auto,349020.0,24,697,0.32,37,0,0.234,car (new)
GL-00286,Home,964980.0,47,732,0.08,35,0,0.1471,car (new)
GL-00287,Auto,430920.0,48,691,0.32,26,0,0.2407,car (used)
GL-00288,Personal,682380.0,48,718,0.16,31,0,0.1787,furniture/equipment
GL-00289,Personal,98280.0,12,704,0.32,49,0,0.2262,domestic appliances
GL-00290,Personal,92160.0,24,619,0.39,48,1,0.8347,domestic appliances
GL-00291,Personal,96840.0,12,735,0.16,26,0,0.1598,others
GL-00292,Auto,845820.0,36,643,0.15,28,1,0.76,car (used)
GL-00293,Auto,577710.0,24,725,0.16,44,0,0.1709,car (used)
GL-00294,Auto,431640.0,42,709,0.32,56,0,0.2207,car (used)
GL-00295,Personal,686610.0,48,723,0.32,46,0,0.2051,others
GL-00296,Personal,896400.0,48,642,0.15,26,1,0.7611,radio/television
GL-00297,Auto,420750.0,12,743,0.08,20,0,0.1349,car (used)
GL-00298,Auto,115830.0,10,722,0.32,45,0,0.2062,car (new)
GL-00299,Personal,226350.0,18,733,0.24,43,0,0.178,radio/television
GL-00300,Personal,247050.0,21,706,0.24,32,0,0.208,radio/television
GL-00301,Auto,60480.0,6,763,0.08,54,0,0.1127,car (new)
GL-00302,Personal,342360.0,36,615,0.39,42,1,0.8391,domestic appliances
GL-00303,Auto,120960.0,24,612,0.39,37,1,0.8424,car (new)
GL-00304,Auto,93420.0,10,704,0.32,49,0,0.2262,car (new)
GL-00305,Auto,911430.0,48,660,0.23,44,1,0.7571,car (new)
GL-00306,Personal,138870.0,6,715,0.32,33,0,0.214,radio/television
GL-00307,Auto,432990.0,30,733,0.16,24,0,0.162,car (used)
GL-00308,Personal,65430.0,12,610,0.39,33,1,0.8447,domestic appliances
GL-00309,Personal,111330.0,8,616,0.31,24,1,0.822,radio/television
GL-00310,Auto,24840.0,9,688,0.32,22,0,0.244,car (new)
GL-00311,Personal,484290.0,48,711,0.24,40,0,0.2024,furniture/equipment
GL-00312,Personal,495990.0,24,710,0.32,25,0,0.2196,radio/television
GL-00313,Personal,337410.0,24,715,0.16,26,0,0.182,radio/television
GL-00314,Auto,61650.0,12,629,0.23,25,1,0.7916,car (new)
GL-00315,Auto,134460.0,4,728,0.08,29,0,0.1516,car (new)
GL-00316,Personal,247140.0,36,609,0.39,31,1,0.8458,radio/television
GL-00317,Personal,63720.0,12,722,0.16,38,0,0.1742,radio/television
GL-00318,Personal,391590.0,24,740,0.08,48,0,0.1382,radio/television
GL-00319,Personal,63090.0,12,714,0.32,32,0,0.2151,retraining
GL-00320,Personal,327870.0,15,727,0.08,27,0,0.1527,radio/television
GL-00321,Auto,382410.0,30,607,0.39,28,1,0.848,car (new)
GL-00322,Personal,174420.0,24,609,0.39,32,1,0.8458,domestic appliances
GL-00323,Auto,261900.0,24,719,0.16,34,0,0.1776,car (used)
GL-00324,Personal,239310.0,18,692,0.32,28,0,0.2396,radio/television
GL-00325,Auto,92520.0,18,717,0.32,36,0,0.2118,car (new)
GL-00326,Auto,305820.0,8,734,0.08,39,0,0.1449,car (new)
GL-00327,Personal,522090.0,12,748,0.16,49,0,0.1453,radio/television
GL-00328,Auto,137250.0,24,715,0.32,34,0,0.214,car (new)
GL-00329,Personal,402570.0,36,694,0.32,31,0,0.2373,domestic appliances
GL-00330,Personal,96120.0,6,692,0.32,28,0,0.2396,domestic appliances
GL-00331,Auto,595350.0,24,744,0.16,75,0,0.1498,car (used)
GL-00332,Personal,167760.0,18,628,0.39,30,1,0.8247,retraining
GL-00333,Auto,666720.0,60,604,0.39,24,1,0.8513,car (new)
GL-00334,Auto,1043100.0,48,648,0.23,24,1,0.7704,car (used)
GL-00335,Personal,369900.0,24,616,0.31,23,1,0.822,radio/television
GL-00336,Personal,304560.0,6,652,0.15,44,1,0.75,radio/television
GL-00337,Personal,189090.0,13,713,0.16,23,0,0.1842,domestic appliances
GL-00338,Personal,114750.0,15,604,0.39,24,1,0.8513,repairs
GL-00339,Personal,375210.0,24,692,0.32,28,0,0.2396,radio/television
GL-00340,Personal,136890.0,10,694,0.32,31,0,0.2373,radio/television
GL-00341,Personal,516870.0,24,713,0.16,24,0,0.1842,retraining
GL-00342,Personal,323910.0,21,727,0.08,26,0,0.1527,radio/television
GL-00343,Personal,289170.0,18,726,0.08,25,0,0.1538,domestic appliances
GL-00344,Home,399510.0,18,731,0.08,33,0,0.1482,others
GL-00345,Auto,355410.0,10,733,0.08,37,0,0.146,car (new)
GL-00346,Personal,131310.0,15,721,0.32,43,0,0.2073,domestic appliances
GL-00347,Personal,79380.0,13,689,0.32,23,0,0.2429,domestic appliances
GL-00348,Personal,338220.0,24,725,0.08,23,0,0.1549,domestic appliances
GL-00349,Personal,156870.0,6,751,0.08,34,0,0.126,others
GL-00350,Personal,102240.0,9,609,0.39,32,1,0.8458,retraining
GL-00351,Personal,111240.0,9,745,0.08,23,0,0.1327,repairs
GL-00352,Personal,86310.0,9,643,0.15,29,1,0.76,radio/television
GL-00353,Auto,290610.0,18,742,0.16,38,0,0.152,car (used)
GL-00354,Personal,557910.0,12,607,0.39,28,1,0.848,domestic appliances
GL-00355,Personal,65430.0,10,723,0.32,46,0,0.2051,retraining
GL-00356,Auto,112140.0,24,604,0.39,23,1,0.8513,car (new)
GL-00357,Personal,209790.0,12,760,0.08,49,0,0.116,domestic appliances
GL-00358,Personal,401670.0,36,626,0.39,26,1,0.8269,domestic appliances
GL-00359,Personal,69840.0,12,712,0.32,28,0,0.2173,domestic appliances
GL-00360,Personal,216540.0,30,604,0.39,23,1,0.8513,radio/television
GL-00361,Personal,111510.0,18,712,0.32,61,0,0.2173,retraining
GL-00362,Personal,305910.0,12,721,0.16,37,0,0.1753,domestic appliances
GL-00363,Auto,202230.0,12,721,0.16,36,0,0.1753,car (new)
GL-00364,Personal,158940.0,6,744,0.08,21,0,0.1338,radio/television
GL-00365,Personal,222570.0,18,605,0.39,25,1,0.8502,radio/television
GL-00366,Personal,138780.0,12,741,0.16,36,0,0.1531,others
GL-00367,Auto,346500.0,18,723,0.24,27,0,0.1891,car (used)
GL-00368,Personal,328500.0,18,724,0.08,22,0,0.156,radio/television
GL-00369,Personal,310140.0,36,615,0.39,42,1,0.8391,radio/television
GL-00370,Personal,270090.0,18,723,0.16,40,0,0.1731,radio/television
GL-00371,Auto,277110.0,36,717,0.32,36,0,0.2118,car (new)
GL-00372,Personal,546300.0,18,727,0.24,33,0,0.1847,domestic appliances
GL-00373,Personal,193140.0,10,745,0.08,23,0,0.1327,radio/television
GL-00374,Auto,1238040.0,60,757,0.16,63,0,0.1353,car (new)
GL-00375,Personal,1330380.0,60,638,0.31,60,1,0.7976,furniture/equipment
