txn_id,Time,hour,amount_inr,channel,rule_hit,fraud_score,fraud_flag,Amount
CC-000027,127961.0,11,13275.85,Ecom,clean,0.3551,0,159.95
CC-000028,84963.0,23,580.17,ATM,night_burst,0.1233,0,6.99
CC-000029,78248.0,21,83.0,ATM,clean,0.0676,0,1.0
CC-000030,75672.0,21,830.0,ATM,clean,0.1818,0,10.0
CC-000031,51978.0,14,20284.37,Ecom,clean,0.3398,0,244.39
CC-000032,123652.0,10,1119.67,POS,clean,0.209,0,13.49
CC-000033,45356.0,12,12613.51,Ecom,clean,0.3397,0,151.97
CC-000034,121046.0,9,313.74,POS,clean,0.0988,0,3.78
CC-000035,40573.0,11,83.0,POS,clean,0.0607,0,1.0
CC-000036,39754.0,11,446.54,POS,clean,0.1742,0,5.38
CC-000037,143237.0,15,3320.0,POS,clean,0.2297,0,40.0
CC-000038,158123.0,19,12927.25,Ecom,clean,0.3727,0,155.75
CC-000039,124617.0,10,8300.0,Ecom,clean,0.327,0,100.0
CC-000040,71132.0,19,36655.29,Ecom,amount_spike,0.3563,0,441.63
CC-000041,146601.0,16,811.74,POS,clean,0.1718,0,9.78
CC-000042,7519.0,2,83.0,ATM,geo_mismatch,0.7,1,1.0
CC-000043,142353.0,15,7025.12,POS,clean,0.2893,0,84.64
CC-000044,155646.0,19,4081.94,POS,clean,0.2641,0,49.18
CC-000045,49249.0,13,1245.0,POS,clean,0.1791,0,15.0
CC-000046,64990.0,18,73.87,POS,clean,0.0373,0,0.89
CC-000047,97446.0,3,1323.85,ATM,night_burst,0.2886,0,15.95
CC-000048,135372.0,13,627.48,POS,clean,0.1579,0,7.56
CC-000049,81814.0,22,664.0,ATM,night_burst,0.1288,0,8.0
CC-000050,15707.0,4,8217.0,ATM,night_burst,0.4215,0,99.0
CC-000051,162406.0,21,6503.88,ATM,clean,0.3374,0,78.36
CC-000052,65434.0,18,663.17,POS,clean,0.1667,0,7.99
CC-000053,43990.0,12,83.0,POS,clean,0.1019,0,1.0
CC-000054,82654.0,22,2449.33,ATM,night_burst,0.2907,0,29.51
CC-000055,31274.0,8,1577.0,ATM,clean,0.215,0,19.0
CC-000056,80646.0,22,9296.0,Ecom,night_burst,0.3151,0,112.0
CC-000057,636.0,0,2698.33,ATM,night_burst,0.2297,0,32.51
CC-000058,146843.0,16,10292.0,Ecom,clean,0.3066,0,124.0
CC-000059,73927.0,20,814.23,POS,clean,0.1239,0,9.81
CC-000060,2729.0,0,3363.16,ATM,night_burst,0.253,0,40.52
CC-000061,156870.0,19,5302.04,POS,clean,0.2551,0,63.88
CC-000062,60154.0,16,1021.73,POS,clean,0.2188,0,12.31
CC-000063,126471.0,11,1278.2,POS,clean,0.1911,0,15.4
CC-000064,125970.0,10,327.02,POS,clean,0.1249,0,3.94
CC-000065,49936.0,13,248.17,POS,clean,0.1156,0,2.99
CC-000066,148331.0,17,1655.85,POS,clean,0.2487,0,19.95
CC-000067,27545.0,7,4752.58,ATM,clean,0.2661,0,57.26
CC-000068,58860.0,16,83.0,POS,clean,0.1033,0,1.0
CC-000069,49538.0,13,1493.17,POS,clean,0.1775,0,17.99
CC-000070,146242.0,16,83.0,POS,clean,0.0658,0,1.0
CC-000071,65736.0,18,3028.67,POS,clean,0.2476,0,36.49
CC-000072,86259.0,23,3764.88,ATM,night_burst,0.258,0,45.36
CC-000073,153163.0,18,6557.0,POS,clean,0.2843,0,79.0
CC-000074,131246.0,12,214481.96,Ecom,amount_spike,0.3766,0,2584.12
CC-000075,66188.0,18,164.34,POS,clean,0.078,0,1.98
CC-000076,74875.0,20,229.08,POS,clean,0.1119,0,2.76
CC-000077,73208.0,20,2485.85,POS,clean,0.2169,0,29.95
CC-000078,49583.0,13,24900.0,Ecom,clean,0.3675,0,300.0
CC-000079,128980.0,11,4149.17,POS,clean,0.2958,0,49.99
CC-000080,10705.0,2,3950.8,ATM,night_burst,0.3135,0,47.6
CC-000081,73791.0,20,2732.36,POS,clean,0.2169,0,32.92
CC-000082,78378.0,21,12141.24,Ecom,clean,0.3144,0,146.28
CC-000083,84875.0,23,954.5,ATM,night_burst,0.1539,0,11.5
CC-000084,36413.0,10,4565.0,POS,clean,0.2717,0,55.0
CC-000085,169036.0,22,1045.8,ATM,night_burst,0.211,0,12.6
CC-000086,164197.0,21,1626.8,ATM,clean,0.2358,0,19.6
CC-000087,55113.0,15,829.17,POS,clean,0.1547,0,9.99
CC-000088,47915.0,13,954.5,POS,clean,0.2066,0,11.5
CC-000089,50840.0,14,124.5,POS,clean,0.0893,0,1.5
CC-000090,125124.0,10,41717.46,Ecom,amount_spike,0.4008,0,502.62
CC-000091,110031.0,6,83.0,ATM,clean,0.1466,0,1.0
CC-000092,148736.0,17,407.53,POS,clean,0.1403,0,4.91
CC-000093,54017.0,15,3833.77,POS,clean,0.2917,0,46.19
CC-000094,52814.0,14,43151.7,Ecom,amount_spike,0.7,1,519.9
CC-000095,145249.0,16,580.17,POS,clean,0.156,0,6.99
CC-000096,126166.0,11,3726.7,POS,clean,0.2529,0,44.9
CC-000097,83373.0,23,7013.5,ATM,night_burst,0.2818,0,84.5
CC-000098,67663.0,18,9.96,POS,clean,0.0609,0,0.12
CC-000099,137041.0,14,8383.0,Ecom,clean,0.3491,0,101.0
CC-000100,101552.0,4,83.0,ATM,night_burst,0.1799,0,1.0
CC-000101,139181.0,14,3876.1,POS,clean,0.2732,0,46.7
CC-000102,41677.0,11,48610.61,Ecom,amount_spike,0.3856,0,585.67
CC-000103,133340.0,13,1643.4,POS,clean,0.1894,0,19.8
CC-000104,62213.0,17,3062.7,POS,clean,0.2189,0,36.9
CC-000105,61195.0,16,5692.14,POS,clean,0.3286,0,68.58
CC-000106,62330.0,17,83.0,POS,geo_mismatch,0.7,1,1.0
CC-000107,147026.0,16,66342.73,Ecom,amount_spike,0.3842,0,799.31
CC-000108,135472.0,13,628.31,POS,clean,0.144,0,7.57
CC-000109,147339.0,16,1542.97,POS,clean,0.2376,0,18.59
CC-000110,43208.0,12,164.34,POS,clean,0.0885,0,1.98
CC-000111,60288.0,16,829.17,POS,clean,0.1543,0,9.99
CC-000112,123866.0,10,1888.25,POS,clean,0.2133,0,22.75
CC-000113,45750.0,12,1245.0,POS,clean,0.2138,0,15.0
CC-000114,81096.0,22,10401.56,Ecom,night_burst,0.3251,0,125.32
CC-000115,142523.0,15,1002.64,POS,clean,0.2093,0,12.08
CC-000116,43856.0,12,7416.05,POS,clean,0.3309,0,89.35
CC-000117,157114.0,19,5212.4,POS,clean,0.2633,0,62.8
CC-000118,36078.0,10,372.67,POS,clean,0.1076,0,4.49
CC-000119,49447.0,13,219.12,POS,clean,0.1032,0,2.64
CC-000120,97417.0,3,1323.85,ATM,night_burst,0.2513,0,15.95
CC-000121,134402.0,13,415.0,POS,clean,0.1285,0,5.0
CC-000122,45477.0,12,522.9,POS,clean,0.1604,0,6.3
CC-000123,62663.0,17,63.08,POS,clean,0.0662,0,0.76
CC-000124,151880.0,18,9116.72,Ecom,clean,0.3404,0,109.84
CC-000125,121499.0,9,83.0,POS,clean,0.0741,0,1.0
CC-000126,32834.0,9,4911.11,POS,clean,0.261,0,59.17
CC-000127,146640.0,16,2157.17,POS,clean,0.219,0,25.99
CC-000128,125474.0,10,147.74,POS,clean,0.0694,0,1.78
CC-000129,84055.0,23,1992.0,ATM,night_burst,0.232,0,24.0
CC-000130,82648.0,22,40.67,ATM,night_burst,0.0363,0,0.49
CC-000131,152246.0,18,16434.0,Ecom,clean,0.3476,0,198.0
CC-000132,135305.0,13,164.34,POS,clean,0.1315,0,1.98
CC-000133,69410.0,19,2778.01,POS,clean,0.2167,0,33.47
CC-000134,135817.0,13,511.28,POS,clean,0.1865,0,6.16
CC-000135,124097.0,10,1245.0,POS,clean,0.1804,0,15.0
CC-000136,72687.0,20,4721.87,POS,intl_first,0.3367,0,56.89
CC-000137,74847.0,20,6744.58,POS,clean,0.2851,0,81.26
CC-000138,12061.0,3,372.67,ATM,night_burst,0.1988,0,4.49
CC-000139,121191.0,9,332.0,POS,clean,0.1283,0,4.0
CC-000140,43909.0,12,415.0,POS,clean,0.159,0,5.0
CC-000141,160067.0,20,83.0,POS,clean,0.0828,0,1.0
CC-000142,135257.0,13,83.0,POS,clean,0.1625,0,1.0
CC-000143,64160.0,17,12517.23,Ecom,clean,0.4087,0,150.81
CC-000144,51328.0,14,1822.68,POS,clean,0.2338,0,21.96
CC-000145,50032.0,13,42164.0,Ecom,amount_spike,0.3989,0,508.0
CC-000146,139525.0,14,12450.0,Ecom,clean,0.3659,0,150.0
CC-000147,63683.0,17,1658.34,POS,clean,0.2096,0,19.98
CC-000148,115394.0,8,10741.03,Ecom,clean,0.364,0,129.41
CC-000149,160818.0,20,2656.0,POS,clean,0.2321,0,32.0
CC-000150,46358.0,12,4647.17,POS,clean,0.3011,0,55.99
CC-000151,68091.0,18,297.97,POS,clean,0.1275,0,3.59
CC-000152,84823.0,23,63.08,ATM,night_burst,0.0903,0,0.76
CC-000153,78337.0,21,2988.0,ATM,clean,0.2392,0,36.0
CC-000154,39193.0,10,870.67,POS,clean,0.199,0,10.49
CC-000155,140092.0,14,63.08,POS,clean,0.151,0,0.76
CC-000156,97470.0,3,1952.16,ATM,night_burst,0.292,0,23.52
CC-000157,40883.0,11,9387.3,Ecom,clean,0.3243,0,113.1
CC-000158,148839.0,17,3012.9,POS,clean,0.2374,0,36.3
CC-000159,677.0,0,2667.62,ATM,night_burst,0.2789,0,32.14
CC-000160,40553.0,11,68755.54,Ecom,amount_spike,0.3979,0,828.38
CC-000161,93485.0,1,700.52,ATM,night_burst,0.2176,0,8.44
CC-000162,142283.0,15,148.57,POS,clean,0.318,0,1.79
CC-000163,124899.0,10,164.34,POS,clean,0.1147,0,1.98
CC-000164,74389.0,20,107.07,POS,clean,0.1315,0,1.29
CC-000165,135481.0,13,83.0,POS,clean,0.0911,0,1.0
CC-000166,75526.0,20,40146.27,Ecom,amount_spike,0.3747,0,483.69
CC-000167,51952.0,14,1105.56,POS,clean,0.2016,0,13.32
CC-000168,157097.0,19,4565.0,POS,clean,0.2713,0,55.0
CC-000169,76147.0,21,746.17,ATM,clean,0.1479,0,8.99
CC-000170,149296.0,17,9591.48,Ecom,clean,0.3053,0,115.56
CC-000171,35597.0,9,331.17,POS,geo_mismatch,0.2701,0,3.99
CC-000172,43169.0,11,9993.2,Ecom,clean,0.354,0,120.4
CC-000173,118475.0,8,6680.67,ATM,clean,0.2792,0,80.49
CC-000174,149247.0,17,829.17,POS,clean,0.1421,0,9.99
CC-000175,3743.0,1,2319.02,ATM,night_burst,0.3393,0,27.94
CC-000176,135334.0,13,1255.79,POS,clean,0.2073,0,15.13
CC-000177,138717.0,14,2739.0,POS,clean,0.2452,0,33.0
CC-000178,135342.0,13,881.46,POS,clean,0.145,0,10.62
CC-000179,74868.0,20,4399.0,POS,clean,0.2784,0,53.0
CC-000180,29784.0,8,36935.0,Ecom,amount_spike,0.3726,0,445.0
CC-000181,153168.0,18,1122.99,POS,clean,0.2143,0,13.53
CC-000182,123123.0,10,1245.0,POS,clean,0.1839,0,15.0
CC-000183,126225.0,11,26145.0,Ecom,clean,0.3849,0,315.0
CC-000184,163310.0,21,3735.0,ATM,clean,0.2807,0,45.0
CC-000185,141179.0,15,2697.5,POS,clean,0.232,0,32.5
CC-000186,22640.0,6,983.55,ATM,clean,0.2081,0,11.85
CC-000187,53710.0,14,4394.85,POS,clean,0.271,0,52.95
CC-000188,121412.0,9,73.87,POS,clean,0.0423,0,0.89
CC-000189,31530.0,8,73.87,ATM,clean,0.0606,0,0.89
CC-000190,151009.0,17,4648.0,POS,clean,0.2796,0,56.0
CC-000191,19763.0,5,7469.17,ATM,night_burst,0.5088,0,89.99
CC-000192,155412.0,19,15726.84,Ecom,clean,0.3563,0,189.48
CC-000193,44506.0,12,6767.82,POS,clean,0.3105,0,81.54
CC-000194,169693.0,23,746.17,ATM,night_burst,0.1337,0,8.99
CC-000195,117138.0,8,83.0,ATM,clean,0.091,0,1.0
CC-000196,62153.0,17,11537.0,Ecom,clean,0.3243,0,139.0
CC-000197,80646.0,22,3320.0,ATM,night_burst,0.2663,0,40.0
CC-000198,76674.0,21,164.34,ATM,clean,0.0907,0,1.98
CC-000199,148927.0,17,6225.0,POS,clean,0.3128,0,75.0
CC-000200,46929.0,13,149.4,POS,clean,0.0955,0,1.8
CC-000201,53291.0,14,1660.0,POS,clean,0.2403,0,20.0
CC-000202,134642.0,13,5923.71,POS,clean,0.2917,0,71.37
CC-000203,97466.0,3,746.17,ATM,night_burst,0.2525,0,8.99
CC-000204,45950.0,12,41995.51,Ecom,amount_spike,0.4018,0,505.97
CC-000205,60462.0,16,1469.1,POS,clean,0.1717,0,17.7
CC-000206,157427.0,19,1161.17,POS,clean,0.1829,0,13.99
CC-000207,36112.0,10,318.72,POS,clean,0.0796,0,3.84
CC-000208,67674.0,18,166.0,POS,clean,0.1274,0,2.0
CC-000209,150208.0,17,5727.0,POS,clean,0.2865,0,69.0
CC-000210,112760.0,7,2444.35,ATM,clean,0.2139,0,29.45
CC-000211,4860.0,1,4975.85,ATM,night_burst,0.3646,0,59.95
CC-000212,126305.0,11,124.5,POS,clean,0.0773,0,1.5
CC-000213,55941.0,15,4632.23,POS,clean,0.4015,0,55.81
CC-000214,159300.0,20,3776.5,POS,clean,0.2615,0,45.5
CC-000215,156093.0,19,3320.0,POS,clean,0.274,0,40.0
CC-000216,127981.0,11,41038.52,Ecom,amount_spike,0.387,0,494.44
CC-000217,56210.0,15,4150.0,POS,clean,0.2602,0,50.0
CC-000218,78312.0,21,164.34,ATM,clean,0.1054,0,1.98
CC-000219,73959.0,20,165.17,POS,clean,0.2344,0,1.99
CC-000220,85208.0,23,82.17,ATM,night_burst,0.0478,0,0.99
CC-000221,132662.0,12,1659.17,POS,clean,0.2066,0,19.99
CC-000222,57759.0,16,2480.04,POS,clean,0.2458,0,29.88
CC-000223,1211.0,0,13280.0,Ecom,night_burst,0.3801,0,160.0
CC-000224,7784.0,2,1074.85,ATM,night_burst,0.3065,0,12.95
CC-000225,170922.0,23,319.55,ATM,night_burst,0.1198,0,3.85
CC-000226,80778.0,22,12126.3,Ecom,night_burst,0.3387,0,146.1
CC-000227,74488.0,20,789.33,POS,clean,0.1477,0,9.51
CC-000228,68945.0,19,11009.95,Ecom,clean,0.3922,0,132.65
CC-000229,158374.0,19,2075.0,POS,clean,0.247,0,25.0
CC-000230,86883.0,0,738.7,ATM,night_burst,0.1716,0,8.9
CC-000231,58137.0,16,11863.19,Ecom,clean,0.3013,0,142.93
CC-000232,59489.0,16,1245.0,POS,clean,0.165,0,15.0
CC-000233,170022.0,23,497.17,ATM,night_burst,0.1481,0,5.99
CC-000234,148046.0,17,21277.88,Ecom,clean,0.4068,0,256.36
CC-000235,164748.0,21,3390.55,ATM,clean,0.3066,0,40.85
CC-000236,30786.0,8,5673.88,ATM,clean,0.3169,0,68.36
CC-000237,137548.0,14,10370.85,Ecom,clean,0.3313,0,124.95
CC-000238,114198.0,7,1245.0,ATM,clean,0.2221,0,15.0
CC-000239,169717.0,23,223.27,ATM,night_burst,0.0958,0,2.69
CC-000240,45600.0,12,1911.49,POS,clean,0.2122,0,23.03
CC-000241,97369.0,3,1323.85,ATM,night_burst,0.2639,0,15.95
CC-000242,144097.0,16,16458.07,Ecom,clean,0.3502,0,198.29
CC-000243,126646.0,11,306.27,POS,clean,0.1341,0,3.69
CC-000244,136131.0,13,2530.67,POS,clean,0.2541,0,30.49
CC-000245,42902.0,11,1985.36,POS,clean,0.2231,0,23.92
CC-000246,139374.0,14,82.17,POS,clean,0.0506,0,0.99
CC-000247,144573.0,16,3286.8,POS,clean,0.2508,0,39.6
CC-000248,80553.0,22,1836.79,ATM,night_burst,0.2494,0,22.13
CC-000249,113045.0,7,371.01,ATM,clean,0.1037,0,4.47
CC-000250,78641.0,21,1159.51,ATM,clean,0.1667,0,13.97
CC-000251,113927.0,7,2324.0,ATM,clean,0.2121,0,28.0
CC-000252,46694.0,12,5810.0,POS,clean,0.2831,0,70.0
CC-000253,64947.0,18,1023.39,POS,geo_mismatch,0.4057,0,12.33
CC-000254,64947.0,18,1023.39,POS,geo_mismatch,0.4057,0,12.33
CC-000255,42321.0,11,9786.53,Ecom,clean,0.3639,0,117.91
CC-000256,36108.0,10,572.7,POS,clean,0.1252,0,6.9
CC-000257,167517.0,22,406.7,ATM,night_burst,0.1141,0,4.9
CC-000258,55853.0,15,28054.0,Ecom,clean,0.4045,0,338.0
CC-000259,122178.0,9,13205.3,Ecom,geo_mismatch,0.4117,0,159.1
CC-000260,35340.0,9,2323.17,POS,clean,0.2123,0,27.99
CC-000261,168887.0,22,297.97,ATM,night_burst,0.1239,0,3.59
CC-000262,6895.0,1,8056.81,ATM,night_burst,0.4253,0,97.07
CC-000263,45732.0,12,15625.58,Ecom,clean,0.3541,0,188.26
CC-000264,160202.0,20,319.55,POS,clean,0.1086,0,3.85
CC-000265,37996.0,10,3984.0,POS,clean,0.2959,0,48.0
CC-000266,54422.0,15,7672.52,POS,clean,0.3332,0,92.44
CC-000267,69077.0,19,22504.62,Ecom,clean,0.3692,0,271.14
CC-000268,55967.0,15,746.17,POS,clean,0.1362,0,8.99
CC-000269,110449.0,6,164.34,ATM,clean,0.1977,0,1.98
CC-000270,121519.0,9,56230.84,Ecom,amount_spike,0.3731,0,677.48
CC-000271,130582.0,12,1918.96,POS,clean,0.1951,0,23.12
CC-000272,117114.0,8,8.3,ATM,clean,0.0501,0,0.1
CC-000273,116279.0,8,7394.47,ATM,clean,0.3406,0,89.09
CC-000274,62578.0,17,1493.17,POS,clean,0.2116,0,17.99
CC-000275,76631.0,21,443.22,ATM,clean,0.1324,0,5.34
CC-000276,34322.0,9,1494.0,POS,clean,0.1821,0,18.0
CC-000277,55986.0,15,207.5,POS,clean,0.1327,0,2.5
CC-000278,166550.0,22,148.57,ATM,night_burst,0.092,0,1.79
CC-000279,62863.0,17,881.46,POS,clean,0.1444,0,10.62
CC-000280,74907.0,20,829.17,POS,clean,0.17,0,9.99
CC-000281,30448.0,8,7469.17,ATM,clean,0.3408,0,89.99
CC-000282,59434.0,16,7461.7,POS,clean,0.3172,0,89.9
CC-000283,62027.0,17,106155.34,Ecom,amount_spike,0.3934,0,1278.98
CC-000284,76826.0,21,21145.08,Ecom,geo_mismatch,0.9703,1,254.76
CC-000285,65155.0,18,996.0,POS,clean,0.1524,0,12.0
CC-000286,57048.0,15,4108.5,POS,clean,0.2626,0,49.5
CC-000287,88018.0,0,415.0,ATM,night_burst,0.1592,0,5.0
CC-000288,169251.0,23,550.29,ATM,night_burst,0.1466,0,6.63
CC-000289,48584.0,13,12425.1,Ecom,clean,0.3347,0,149.7
CC-000290,60563.0,16,2656.0,POS,clean,0.3087,0,32.0
CC-000291,114704.0,7,7470.0,ATM,clean,0.2972,0,90.0
CC-000292,61778.0,17,724.59,POS,clean,0.1581,0,8.73
CC-000293,160441.0,20,3818.0,POS,clean,0.2872,0,46.0
CC-000294,65414.0,18,2485.85,POS,clean,0.2391,0,29.95
CC-000295,46831.0,13,73.87,POS,clean,0.0627,0,0.89
CC-000296,60635.0,16,13557.22,Ecom,clean,0.3338,0,163.34
CC-000297,55458.0,15,1770.39,POS,clean,0.2485,0,21.33
CC-000298,125088.0,10,15989.95,Ecom,clean,0.3551,0,192.65
CC-000299,119207.0,9,1990.34,POS,clean,0.2345,0,23.98
CC-000300,97464.0,3,1323.85,ATM,night_burst,0.2429,0,15.95
CC-000301,49715.0,13,328.68,POS,clean,0.1205,0,3.96
CC-000302,54742.0,15,11952.0,Ecom,clean,0.3503,0,144.0
CC-000303,67307.0,18,414.17,POS,clean,0.1209,0,4.99
CC-000304,148940.0,17,1025.88,POS,clean,0.1507,0,12.36
CC-000305,140187.0,14,7885.0,POS,clean,0.3367,0,95.0
CC-000306,56790.0,15,4969.21,POS,clean,0.2738,0,59.87
CC-000307,134429.0,13,2667.62,POS,clean,0.2704,0,32.14
CC-000308,55146.0,15,1092.28,POS,clean,0.1844,0,13.16
CC-000309,159223.0,20,4648.0,POS,clean,0.2829,0,56.0
CC-000310,134155.0,13,4150.0,POS,clean,0.2819,0,50.0
CC-000311,56020.0,15,47310.0,Ecom,amount_spike,0.375,0,570.0
CC-000312,144416.0,16,829.17,POS,clean,0.1556,0,9.99
CC-000313,137883.0,14,3990.64,POS,clean,0.2956,0,48.08
CC-000314,134184.0,13,829.17,POS,clean,0.1673,0,9.99
CC-000315,164852.0,21,741.19,ATM,clean,0.1312,0,8.93
CC-000316,50309.0,13,0.0,POS,clean,0.0505,0,0.0
CC-000317,53509.0,14,80925.0,Ecom,amount_spike,0.3785,0,975.0
CC-000318,152224.0,18,14727.52,Ecom,clean,0.3945,0,177.44
CC-000319,54924.0,15,39924.66,Ecom,amount_spike,0.3856,0,481.02
CC-000320,57686.0,16,1259.11,POS,clean,0.1834,0,15.17
CC-000321,53238.0,14,5116.95,POS,clean,0.3057,0,61.65
CC-000322,56617.0,15,9800.64,Ecom,clean,0.3251,0,118.08
CC-000323,61472.0,17,3237.0,POS,clean,0.2671,0,39.0
CC-000324,45254.0,12,18841.0,Ecom,clean,0.3582,0,227.0
CC-000325,136092.0,13,15770.0,Ecom,clean,0.3562,0,190.0
CC-000326,42785.0,11,14359.0,Ecom,clean,0.3427,0,173.0
CC-000327,34066.0,9,3759.9,POS,clean,0.2504,0,45.3
CC-000328,140344.0,14,605.07,POS,clean,0.1481,0,7.29
CC-000329,158557.0,20,148.57,POS,clean,0.0943,0,1.79
CC-000330,4132.0,1,4062.85,ATM,night_burst,0.3787,0,48.95
CC-000331,46332.0,12,4897.0,POS,clean,0.2894,0,59.0
CC-000332,83787.0,23,73.87,ATM,night_burst,0.028,0,0.89
CC-000333,73755.0,20,829.17,POS,clean,0.1444,0,9.99
CC-000334,17139.0,4,830.0,ATM,night_burst,0.2255,0,10.0
CC-000335,73764.0,20,372.67,POS,clean,0.1147,0,4.49
CC-000336,75822.0,21,4150.0,ATM,clean,0.2913,0,50.0
CC-000337,73156.0,20,1449.18,POS,clean,0.1963,0,17.46
CC-000338,22725.0,6,56.44,ATM,clean,0.1366,0,0.68
CC-000339,149465.0,17,4648.0,POS,clean,0.2795,0,56.0
CC-000340,147625.0,17,6971.17,POS,clean,0.2812,0,83.99
CC-000341,143131.0,15,746.17,POS,clean,0.149,0,8.99
CC-000342,63959.0,17,21173.3,Ecom,clean,0.3517,0,255.1
CC-000343,168976.0,22,8623.7,Ecom,night_burst,0.3343,0,103.9
CC-000344,64385.0,17,622.5,POS,clean,0.1552,0,7.5
CC-000345,61191.0,16,830.0,POS,clean,0.1314,0,10.0
CC-000346,29523.0,8,83.0,ATM,clean,0.0934,0,1.0
CC-000347,38013.0,10,22629.95,Ecom,clean,0.4064,0,272.65
CC-000348,66121.0,18,82.17,POS,clean,0.0614,0,0.99
CC-000349,58822.0,16,3788.12,POS,geo_mismatch,0.873,1,45.64
CC-000350,27749.0,7,9545.0,Ecom,clean,0.3321,0,115.0
CC-000351,71854.0,19,164.34,POS,clean,0.0905,0,1.98
CC-000352,37892.0,10,1045.8,POS,clean,0.1509,0,12.6
CC-000353,27034.0,7,83.0,ATM,clean,0.0695,0,1.0
CC-000354,50698.0,14,1078.17,POS,clean,0.1741,0,12.99
CC-000355,72879.0,20,1114.69,POS,clean,0.1875,0,13.43
CC-000356,172616.0,23,1279.03,ATM,night_burst,0.2305,0,15.41
CC-000357,162380.0,21,94171.8,Ecom,amount_spike,0.3988,0,1134.6
CC-000358,115900.0,8,6465.7,ATM,clean,0.3139,0,77.9
CC-000359,2621.0,0,6225.0,ATM,night_burst,0.2995,0,75.0
CC-000360,128773.0,11,1567.04,POS,clean,0.2058,0,18.88
CC-000361,84353.0,23,6308.0,ATM,night_burst,0.2895,0,76.0
CC-000362,113937.0,7,5756.05,ATM,clean,0.3396,0,69.35
CC-000363,1971.0,0,3411.3,ATM,night_burst,0.2448,0,41.1
CC-000364,50983.0,14,2506.6,POS,clean,0.2331,0,30.2
CC-000365,41391.0,11,82.17,POS,clean,0.0615,0,0.99
CC-000366,167339.0,22,6439.14,ATM,night_burst,0.3077,0,77.58
CC-000367,85301.0,23,1826.0,ATM,night_burst,0.2302,0,22.0
CC-000368,72680.0,20,50996.03,Ecom,amount_spike,0.4012,0,614.41
CC-000369,78809.0,21,6172.71,ATM,clean,0.3018,0,74.37
CC-000370,77762.0,21,11059.75,Ecom,clean,0.3754,0,133.25
CC-000371,136617.0,13,63.91,POS,clean,0.0711,0,0.77
CC-000372,140310.0,14,6225.0,POS,clean,0.3155,0,75.0
CC-000373,139989.0,14,15824.78,Ecom,clean,0.3589,0,190.66
CC-000374,81784.0,22,2161.32,ATM,night_burst,0.1999,0,26.04
CC-000375,157456.0,19,3110.84,POS,clean,0.2396,0,37.48
CC-000376,127015.0,11,164.34,POS,clean,0.1061,0,1.98
CC-000377,84789.0,23,29409.39,Ecom,night_burst,0.7,1,354.33
CC-000378,89374.0,0,7913.22,ATM,night_burst,0.3215,0,95.34
CC-000379,69138.0,19,8378.85,Ecom,clean,0.3253,0,100.95
CC-000380,43566.0,12,1240.85,POS,clean,0.1823,0,14.95
CC-000381,26859.0,7,8291.7,ATM,clean,0.343,0,99.9
CC-000382,67877.0,18,381.8,POS,clean,0.1575,0,4.6
CC-000383,42213.0,11,944.54,POS,clean,0.172,0,11.38
CC-000384,53944.0,14,707.99,POS,clean,0.279,0,8.53
CC-000385,141632.0,15,1805.25,POS,clean,0.2087,0,21.75
CC-000386,13891.0,3,2509.92,ATM,night_burst,0.319,0,30.24
CC-000387,77631.0,21,1629.29,ATM,clean,0.195,0,19.63
CC-000388,83046.0,23,83.0,ATM,night_burst,0.0769,0,1.0
