shipment_id,order_id,ship_date,route,category,otif,late_flag,gmv_inr,shipping_mode
SH-002787,36882,2016-06-25 09:03:00,USCA · East of USA,Cardio Equipment,1,0,33196.68,Standard Class
SH-003693,61459,2017-06-21 03:28:00,LATAM · South America,Camping & Hiking,0,1,24898.34,Standard Class
SH-000753,45270,2016-10-23 07:44:00,Other,Indoor/Outdoor Games,0,1,12445.02,Same Day
SH-007025,54483,2017-03-10 07:28:00,LATAM · Central America,Accessories,1,0,4148.34,Standard Class
SH-009792,31308,2016-04-06 00:14:00,USCA · West of USA ,Indoor/Outdoor Games,1,0,4148.34,Standard Class
SH-008040,887,2015-01-16 22:24:00,LATAM · Caribbean,Water Sports,1,0,16599.17,Standard Class
SH-000605,54673,2017-03-11 02:02:00,LATAM · Central America,Hockey,0,1,9130.0,First Class
SH-014646,34854,2016-05-28 18:33:00,USCA · West of USA ,Water Sports,0,1,16599.17,Standard Class
SH-018252,19288,2015-10-13 13:05:00,Europe · Southern Europe,Fishing,1,0,33198.34,Standard Class
SH-015503,8243,2015-05-05 07:32:00,LATAM · South America,Cleats,1,0,24895.85,Standard Class
SH-018986,17446,2015-09-14 15:45:00,Europe · Northern Europe,Men's Footwear,1,0,10789.17,Standard Class
SH-020858,44176,2016-10-08 20:28:00,Other,Shop By Sport,1,0,16595.85,Second Class
SH-008693,68973,2017-10-07 19:57:00,Europe · Western Europe,Books ,1,0,2579.64,Standard Class
SH-014284,9516,2015-05-21 21:31:00,LATAM · Caribbean,Water Sports,1,0,16599.17,Standard Class
SH-012241,48521,2016-12-11 06:43:00,Other,Men's Footwear,0,1,10789.17,First Class
SH-013273,71237,2017-11-08 21:08:00,Europe · Northern Europe,Crafts,1,0,38302.84,Standard Class
SH-010244,48948,2016-12-19 12:18:00,Other,Women's Apparel,1,0,16600.0,Standard Class
SH-004489,66553,2017-09-02 12:07:00,Europe · Northern Europe,Water Sports,1,0,16599.17,Standard Class
SH-004033,56317,2017-04-05 02:00:00,LATAM · Caribbean,Indoor/Outdoor Games,0,1,12445.02,Second Class
SH-021095,28840,2016-03-02 23:35:00,Pacific Asia · Southeast Asia,Women's Apparel,0,1,12450.0,Second Class
SH-011688,28700,2016-02-29 22:32:00,Pacific Asia · Eastern Asia,Cleats,0,1,19916.68,Standard Class
SH-000333,67772,2017-09-16 19:12:00,Europe · Western Europe,Men's Footwear,1,0,10789.17,Same Day
SH-018595,73847,2017-12-16 23:32:00,Pacific Asia · Southeast Asia,Women's Clothing,1,0,17913.06,Standard Class
SH-010283,30924,2016-04-01 09:42:00,Pacific Asia · Oceania,Electronics,1,0,11615.85,Standard Class
SH-001037,8555,2015-05-11 20:50:00,LATAM · Caribbean,Camping & Hiking,0,1,24898.34,Standard Class
SH-011758,66159,2017-08-28 18:05:00,Europe · Western Europe,Hunting & Shooting,0,1,12449.17,Standard Class
SH-004904,10251,2015-06-01 15:01:00,LATAM · South America,Camping & Hiking,1,0,24898.34,Second Class
SH-000952,8906,2015-05-12 23:49:00,LATAM · Central America,Water Sports,1,0,16599.17,Standard Class
SH-007476,21708,2015-11-17 20:55:00,Pacific Asia · South Asia,Indoor/Outdoor Games,1,0,20741.7,Standard Class
SH-005357,34380,2016-05-22 20:29:00,USCA · East of USA,Cleats,0,1,14937.51,Second Class
SH-003476,5482,2015-03-22 12:14:00,LATAM · Caribbean,Women's Apparel,1,0,12450.0,Same Day
SH-010946,34761,2016-05-24 09:58:00,Other,Men's Footwear,1,0,10789.17,Standard Class
SH-018865,53202,2017-02-18 14:40:00,LATAM · Central America,Shop By Sport,0,1,13276.68,Second Class
SH-007507,46511,2016-11-11 22:31:00,Other,Women's Apparel,0,1,4150.0,First Class
SH-002161,43498,2016-09-30 22:56:00,Other,Fishing,1,0,33198.34,Standard Class
SH-019913,60316,2017-06-01 11:01:00,LATAM · Caribbean,Men's Footwear,1,0,10789.17,Standard Class
SH-013888,54195,2017-03-04 02:34:00,LATAM · South America,Cleats,0,1,4979.17,First Class
SH-020169,61662,2017-06-22 02:35:00,Europe · Western Europe,Cleats,0,1,14937.51,Second Class
SH-013816,30095,2016-03-21 07:16:00,Pacific Asia · Eastern Asia,Cardio Equipment,0,1,33196.68,Standard Class
SH-018634,33613,2016-05-09 15:46:00,Other,Cleats,1,0,14937.51,Standard Class
SH-020201,43648,2016-10-03 03:29:00,Other,Fishing,0,1,33198.34,Second Class
SH-018528,43376,2016-09-27 04:11:00,Other,Men's Footwear,1,0,10789.17,Standard Class
SH-007329,9783,2015-05-25 19:04:00,LATAM · Caribbean,Men's Footwear,0,1,10789.17,First Class
SH-008598,42262,2016-09-10 21:54:00,Other,Indoor/Outdoor Games,0,1,4148.34,First Class
SH-008731,66064,2017-08-27 08:48:00,Europe · Western Europe,Shop By Sport,0,1,9957.51,Standard Class
SH-011466,72066,2017-11-19 23:34:00,Pacific Asia · Southeast Asia,Garden,1,0,44204.14,Second Class
SH-017616,8261,2015-05-03 13:50:00,LATAM · Caribbean,Camping & Hiking,1,0,24898.34,Standard Class
SH-012245,24438,2015-12-27 17:22:00,Pacific Asia · Southeast Asia,Indoor/Outdoor Games,1,0,4148.34,Standard Class
SH-003540,38193,2016-07-13 12:21:00,Other,Men's Footwear,0,1,10789.17,First Class
SH-018879,51662,2017-01-27 03:08:00,LATAM · Central America,Women's Apparel,1,0,4150.0,Standard Class
SH-002061,3768,2015-02-28 23:44:00,LATAM · Central America,Water Sports,1,0,16599.17,Standard Class
SH-012722,23099,2015-12-09 04:15:00,Pacific Asia · Southeast Asia,Cleats,0,1,14937.51,Standard Class
SH-008048,59985,2017-05-27 15:04:00,LATAM · Central America,Baseball & Softball,0,1,13279.17,First Class
SH-008616,43633,2016-10-02 22:13:00,Other,Water Sports,1,0,16599.17,Standard Class
SH-009104,3123,2015-02-17 13:46:00,LATAM · Central America,Camping & Hiking,0,1,24898.34,First Class
SH-019854,46370,2016-11-09 21:07:00,Other,Women's Apparel,0,1,4150.0,First Class
SH-018466,26677,2016-01-28 09:47:00,Pacific Asia · South Asia,Indoor/Outdoor Games,1,0,8296.68,Standard Class
SH-019477,74784,2018-01-01 15:48:00,Pacific Asia · South Asia,Crafts,0,1,38302.84,Standard Class
SH-010873,44578,2016-10-16 17:18:00,Other,Trade-In,1,0,6635.85,Standard Class
SH-003830,64764,2017-08-05 09:21:00,Europe · Western Europe,Water Sports,0,1,16599.17,First Class
SH-003559,8319,2015-05-04 10:09:00,LATAM · South America,Cardio Equipment,0,1,41495.85,First Class
SH-011147,53244,2017-02-18 05:23:00,LATAM · Central America,Men's Footwear,0,1,10789.17,First Class
SH-004668,75518,2018-01-11 08:58:00,Pacific Asia · Southeast Asia,Pet Supplies,1,0,7005.2,Standard Class
SH-008846,3398,2015-02-23 14:07:00,LATAM · Caribbean,Cardio Equipment,1,0,41495.85,Standard Class
SH-009326,68818,2017-10-05 13:39:00,Europe · Western Europe,Shop By Sport,0,1,6638.34,Second Class
SH-002610,9207,2015-05-18 09:16:00,LATAM · Caribbean,Cleats,0,1,4979.17,Second Class
SH-009082,31391,2016-04-05 05:18:00,Other,Fishing,0,1,33198.34,First Class
SH-006132,64468,2017-08-03 01:39:00,Europe · Western Europe,Baseball & Softball,1,0,13279.17,Standard Class
SH-009278,35164,2016-06-02 07:09:00,USCA · West of USA ,Cardio Equipment,0,1,24897.51,Second Class
SH-001778,52256,2017-02-03 19:15:00,LATAM · Central America,Shop By Sport,0,1,9960.0,First Class
SH-017365,55450,2017-03-26 10:15:00,LATAM · South America,Fishing,0,1,33198.34,Standard Class
SH-007811,14691,2015-08-05 10:33:00,Europe · Western Europe,Fishing,1,0,33198.34,Standard Class
SH-015867,15931,2015-08-23 12:59:00,Europe · Western Europe,Water Sports,1,0,16599.17,Standard Class
SH-013734,67374,2017-09-12 11:45:00,Europe · Western Europe,Women's Apparel,0,1,20750.0,First Class
SH-007394,10736,2015-06-08 16:56:00,Europe · Western Europe,Women's Apparel,1,0,12450.0,Standard Class
SH-003245,7669,2015-04-27 22:26:00,LATAM · Central America,Cleats,0,1,9958.34,Standard Class
SH-020813,45698,2016-11-02 01:41:00,Other,Water Sports,1,0,16599.17,Standard Class
SH-019595,39742,2016-08-05 03:02:00,USCA · East of USA,Shop By Sport,0,1,16595.85,First Class
SH-019457,55814,2017-03-26 05:46:00,LATAM · Central America,Women's Apparel,0,1,4150.0,Same Day
SH-018220,47780,2016-12-04 11:06:00,Europe · Western Europe,Women's Apparel,0,1,4150.0,Standard Class
SH-004467,62454,2017-07-02 16:04:00,Europe · Northern Europe,Fishing,0,1,33198.34,First Class
SH-010858,53844,2017-02-26 23:36:00,LATAM · Central America,Indoor/Outdoor Games,0,1,16593.36,First Class
SH-020631,58414,2017-05-04 16:40:00,LATAM · Caribbean,Cardio Equipment,1,0,24897.51,First Class
SH-011156,24476,2015-12-26 06:40:00,Pacific Asia · Southeast Asia,Men's Footwear,1,0,10789.17,Standard Class
SH-019612,50274,2017-01-08 20:52:00,Other,Cardio Equipment,0,1,16598.34,Second Class
SH-011149,39845,2016-08-10 15:07:00,USCA · West of USA ,Fishing,0,1,33198.34,Standard Class
SH-003296,34428,2016-05-19 13:18:00,USCA · West of USA ,Camping & Hiking,0,1,24898.34,First Class
SH-021161,13906,2015-07-24 23:32:00,Europe · Western Europe,Electronics,1,0,5310.34,Standard Class
SH-021951,36530,2016-06-19 05:44:00,Other,Fishing,0,1,33198.34,First Class
SH-021167,34629,2016-05-25 11:43:00,Other,Cleats,0,1,19916.68,Standard Class
SH-015521,38361,2016-07-14 11:13:00,USCA · East of USA,Shop By Sport,0,1,16595.85,Same Day
SH-000515,8170,2015-05-06 05:57:00,LATAM · South America,Hockey,0,1,3652.0,Standard Class
SH-011958,27013,2016-02-01 07:30:00,Pacific Asia · South Asia,Camping & Hiking,0,1,24898.34,First Class
SH-000998,39442,2016-07-30 05:56:00,Other,Fishing,0,1,33198.34,Same Day
SH-020232,39438,2016-08-02 16:32:00,USCA · West of USA ,Cardio Equipment,1,0,16598.34,Standard Class
SH-005761,55215,2017-03-18 23:55:00,LATAM · Caribbean,Camping & Hiking,0,1,24898.34,First Class
SH-019691,8041,2015-04-30 08:46:00,LATAM · Central America,Cleats,1,0,14937.51,Standard Class
SH-004979,34809,2016-05-28 02:47:00,Other,Men's Footwear,0,1,10789.17,Standard Class
SH-014216,12079,2015-06-26 19:27:00,Europe · Western Europe,Golf Shoes,1,0,21580.0,Same Day
SH-016566,17990,2015-09-26 14:20:00,Europe · Western Europe,Girls' Apparel,0,1,4980.0,Standard Class
SH-016430,48608,2016-12-14 13:11:00,Other,Women's Apparel,1,0,20750.0,Standard Class
SH-000381,46092,2016-11-06 19:43:00,Other,Shop By Sport,1,0,6638.34,Standard Class
SH-001250,43033,2016-09-24 04:01:00,Other,Men's Footwear,0,1,10789.17,Second Class
SH-011851,33982,2016-05-14 01:03:00,Other,Water Sports,1,0,16599.17,Standard Class
SH-008500,27923,2016-02-14 14:19:00,Pacific Asia · Eastern Asia,Women's Apparel,0,1,12450.0,First Class
SH-004074,22896,2015-12-03 05:08:00,Pacific Asia · Southeast Asia,Cardio Equipment,1,0,41495.85,Standard Class
SH-005425,25008,2016-01-05 01:03:00,Pacific Asia · Southeast Asia,Camping & Hiking,1,0,24898.34,Standard Class
SH-021246,11607,2015-06-22 10:05:00,Europe · Northern Europe,Cleats,1,0,9958.34,Standard Class
SH-018296,2370,2015-02-10 13:57:00,LATAM · Central America,Hunting & Shooting,0,1,2489.17,Standard Class
SH-018497,49513,2016-12-27 18:15:00,Other,Fishing,1,0,33198.34,Standard Class
SH-013359,43172,2016-09-25 04:43:00,Other,Shop By Sport,1,0,3319.17,Standard Class
SH-018045,40871,2016-08-21 14:34:00,USCA · West of USA ,Indoor/Outdoor Games,0,1,8296.68,First Class
SH-000029,41735,2016-09-01 17:16:00,Other,Cardio Equipment,1,0,2490.0,Same Day
SH-004322,52231,2017-02-03 10:29:00,LATAM · Central America,Men's Footwear,0,1,10789.17,First Class
SH-021669,6298,2015-04-06 22:07:00,LATAM · Central America,Men's Footwear,1,0,10789.17,Standard Class
SH-001553,6557,2015-04-09 16:51:00,LATAM · Central America,Cleats,0,1,9958.34,Second Class
SH-016694,32854,2016-04-25 01:52:00,USCA · East of USA,Indoor/Outdoor Games,0,1,8296.68,Same Day
SH-005821,54872,2017-03-14 23:45:00,LATAM · Central America,Indoor/Outdoor Games,1,0,4148.34,Standard Class
SH-002446,51236,2017-01-19 21:54:00,Other,Cleats,1,0,9958.34,Standard Class
SH-019842,57375,2017-04-23 12:40:00,LATAM · Central America,Men's Footwear,0,1,10789.17,Standard Class
SH-001515,30236,2016-03-19 08:40:00,Pacific Asia · Southeast Asia,Cardio Equipment,1,0,33196.68,Standard Class
SH-003339,26753,2016-01-30 12:25:00,Pacific Asia · Southeast Asia,Men's Footwear,1,0,10789.17,Standard Class
SH-014187,57007,2017-04-15 03:44:00,LATAM · Central America,Cleats,0,1,19916.68,Second Class
SH-020468,31288,2016-04-05 17:13:00,Pacific Asia · Oceania,Camping & Hiking,1,0,24898.34,Standard Class
SH-011187,1554,2015-01-28 16:05:00,LATAM · Central America,Cleats,0,1,19916.68,Second Class
SH-007982,60637,2017-06-07 03:29:00,LATAM · Central America,Women's Apparel,1,0,12450.0,Standard Class
SH-013095,36899,2016-06-27 15:00:00,Other,Shop By Sport,0,1,13276.68,Standard Class
SH-010473,49360,2016-12-27 12:39:00,Other,Girls' Apparel,0,1,17430.0,Second Class
SH-021453,18086,2015-09-23 23:58:00,Europe · Southern Europe,Men's Footwear,0,1,10789.17,First Class
SH-002992,5659,2015-03-29 14:14:00,LATAM · Central America,Women's Apparel,0,1,16600.0,Standard Class
SH-021573,32344,2016-04-22 03:11:00,Other,Indoor/Outdoor Games,0,1,20741.7,Standard Class
SH-007896,5175,2015-03-23 12:40:00,LATAM · South America,Camping & Hiking,0,1,24898.34,Standard Class
SH-015493,39748,2016-08-07 05:08:00,USCA · West of USA ,Camping & Hiking,1,0,24898.34,Standard Class
SH-004875,58256,2017-05-02 09:19:00,LATAM · South America,Women's Apparel,1,0,4150.0,Standard Class
SH-007026,13409,2015-07-20 17:25:00,Europe · Western Europe,Cleats,0,1,9958.34,Second Class
SH-008368,59613,2017-05-24 04:44:00,LATAM · South America,Camping & Hiking,0,1,24898.34,Second Class
SH-002442,8665,2015-05-13 11:23:00,LATAM · Caribbean,Fishing,0,1,33198.34,Second Class
SH-020101,14829,2015-08-10 10:54:00,Europe · Western Europe,Water Sports,0,1,16599.17,Standard Class
SH-010091,4313,2015-03-06 22:41:00,LATAM · Central America,Women's Apparel,0,1,20750.0,First Class
SH-014657,11700,2015-06-26 18:40:00,Europe · Western Europe,Men's Footwear,0,1,10789.17,Standard Class
SH-016010,61542,2017-06-20 08:33:00,LATAM · South America,Camping & Hiking,0,1,24898.34,Second Class
SH-005165,9637,2015-05-24 15:55:00,LATAM · Caribbean,Cardio Equipment,1,0,16598.34,Standard Class
SH-000346,70366,2017-10-26 03:59:00,Europe · Northern Europe,Children's Clothing,1,0,29639.3,Standard Class
SH-012610,57644,2017-04-26 10:54:00,LATAM · South America,Water Sports,0,1,16599.17,Standard Class
SH-013388,53399,2017-02-23 11:41:00,LATAM · Central America,Shop By Sport,0,1,6638.34,Standard Class
SH-013253,609,2015-01-14 21:00:00,LATAM · Central America,Water Sports,0,1,16599.17,Standard Class
SH-008874,24695,2016-01-02 11:24:00,Pacific Asia · Eastern Asia,Cleats,0,1,24895.85,Second Class
SH-002091,56093,2017-03-31 19:31:00,LATAM · Central America,Women's Apparel,0,1,12450.0,First Class
SH-002073,10019,2015-06-01 05:45:00,LATAM · South America,Men's Footwear,0,1,10789.17,Second Class
SH-016133,55714,2017-03-26 06:44:00,LATAM · Central America,Fishing,0,1,33198.34,First Class
SH-016416,76520,2018-01-28 00:00:00,Pacific Asia · South Asia,Video Games,0,1,3299.25,Second Class
SH-004610,36681,2016-06-21 10:38:00,USCA · East of USA,Cleats,1,0,14937.51,Second Class
SH-006412,27371,2016-02-05 00:55:00,Pacific Asia · Eastern Asia,Girls' Apparel,0,1,12450.0,Same Day
SH-016324,40036,2016-08-09 10:02:00,USCA · East of USA,Indoor/Outdoor Games,1,0,4148.34,Standard Class
SH-021236,6120,2015-04-06 07:45:00,LATAM · Central America,Camping & Hiking,0,1,24898.34,Second Class
SH-006298,13522,2015-07-20 09:00:00,Europe · Western Europe,Shop By Sport,0,1,9957.51,Second Class
SH-006201,48330,2016-12-08 11:48:00,Other,Camping & Hiking,0,1,24898.34,First Class
SH-012070,19600,2015-10-16 02:24:00,Europe · Southern Europe,Women's Apparel,0,1,12450.0,First Class
SH-008366,33124,2016-04-29 00:27:00,Other,Women's Apparel,0,1,4150.0,Same Day
SH-015726,72579,2017-11-30 11:18:00,Pacific Asia · Southeast Asia,Music,0,1,21633.95,Second Class
SH-009556,62453,2017-07-02 15:43:00,Europe · Northern Europe,Women's Apparel,0,1,16600.0,First Class
SH-001596,41916,2016-09-05 20:41:00,Other,Men's Footwear,1,0,10789.17,Standard Class
SH-015211,49437,2016-12-23 03:37:00,Other,Indoor/Outdoor Games,0,1,8296.68,Same Day
SH-019552,42910,2016-09-20 08:56:00,Other,Shop By Sport,0,1,6638.34,First Class
SH-015881,29402,2016-03-08 04:28:00,Pacific Asia · Southeast Asia,Camping & Hiking,1,0,24898.34,Standard Class
SH-004915,67028,2017-09-09 10:32:00,Europe · Western Europe,Fishing,1,0,33198.34,Standard Class
SH-010132,64101,2017-07-26 17:05:00,Europe · Western Europe,Men's Footwear,1,0,10789.17,Standard Class
SH-003222,30281,2016-03-20 00:25:00,Pacific Asia · Eastern Asia,Cleats,1,0,4979.17,Standard Class
SH-015632,23545,2015-12-16 16:30:00,Pacific Asia · Southeast Asia,Men's Footwear,0,1,10789.17,Standard Class
SH-005548,49186,2016-12-20 23:41:00,Other,Women's Apparel,1,0,16600.0,Standard Class
SH-012190,11638,2015-06-23 20:57:00,Europe · Southern Europe,Camping & Hiking,1,0,24898.34,Standard Class
SH-014060,68706,2017-10-01 22:25:00,Europe · Southern Europe,Cleats,1,0,9958.34,Second Class
SH-005183,27158,2016-02-05 10:18:00,Pacific Asia · Eastern Asia,Water Sports,0,1,16599.17,Second Class
SH-019007,43748,2016-10-01 02:31:00,Europe · Southern Europe,Indoor/Outdoor Games,0,1,12445.02,Same Day
SH-013699,13322,2015-07-16 10:56:00,Europe · Western Europe,Cardio Equipment,0,1,8299.17,First Class
SH-010476,42363,2016-09-14 09:17:00,Other,Water Sports,1,0,16599.17,Standard Class
SH-012683,33922,2016-05-10 16:02:00,USCA · East of USA,Women's Apparel,1,0,8300.0,Same Day
SH-011101,40966,2016-08-22 23:51:00,Other,Electronics,0,1,15932.68,First Class
SH-016538,60995,2017-06-15 08:54:00,LATAM · Central America,Fishing,0,1,33198.34,Standard Class
SH-002003,3435,2015-02-26 03:04:00,LATAM · Central America,Baseball & Softball,0,1,2904.17,Standard Class
SH-005461,30609,2016-03-27 19:20:00,Pacific Asia · Oceania,Cleats,0,1,14937.51,Second Class
SH-020500,53826,2017-02-26 17:17:00,LATAM · Central America,Indoor/Outdoor Games,1,0,8296.68,Second Class
SH-011895,30519,2016-03-26 11:48:00,Pacific Asia · Oceania,Men's Footwear,0,1,10789.17,Standard Class
SH-019795,16754,2015-09-07 13:19:00,Europe · Western Europe,Men's Footwear,0,1,10789.17,Second Class
SH-008917,46801,2016-11-14 16:07:00,Other,Golf Balls,1,0,8295.85,Same Day
SH-005459,31676,2016-04-09 09:09:00,Other,Fishing,1,0,33198.34,Standard Class
SH-014898,6823,2015-04-11 02:03:00,LATAM · Central America,Cleats,0,1,14937.51,Same Day
SH-020086,41450,2016-09-03 01:25:00,Other,Indoor/Outdoor Games,0,1,12445.02,Standard Class
SH-020875,38532,2016-07-19 11:07:00,USCA · East of USA,Indoor/Outdoor Games,1,0,20741.7,Standard Class
SH-018660,66138,2017-08-27 10:44:00,Europe · Northern Europe,Camping & Hiking,1,0,24898.34,Standard Class
SH-014777,8970,2015-05-17 22:14:00,LATAM · Central America,Cardio Equipment,0,1,41495.85,Standard Class
SH-012776,25153,2016-01-05 03:51:00,Pacific Asia · Southeast Asia,Camping & Hiking,0,1,24898.34,First Class
SH-005669,9123,2015-05-16 03:50:00,LATAM · South America,Cleats,0,1,14937.51,First Class
SH-017173,7009,2015-04-18 07:12:00,LATAM · Central America,Cardio Equipment,0,1,24897.51,Second Class
SH-015174,15694,2015-08-23 01:57:00,Europe · Western Europe,Cleats,0,1,19916.68,Standard Class
SH-003616,75594,2018-01-13 11:35:00,Pacific Asia · Eastern Asia,Pet Supplies,0,1,7005.2,Standard Class
SH-002542,5635,2015-03-30 05:50:00,LATAM · Central America,Water Sports,0,1,16599.17,Standard Class
SH-005856,61396,2017-06-17 05:24:00,LATAM · South America,Cardio Equipment,0,1,24897.51,First Class
SH-018835,76217,2018-01-20 13:51:00,Pacific Asia · Southeast Asia,Video Games,1,0,3299.25,Standard Class
SH-005735,4410,2015-03-12 08:40:00,LATAM · Central America,Men's Footwear,0,1,10789.17,Second Class
SH-004860,16148,2015-08-28 17:00:00,Europe · Western Europe,Fishing,1,0,33198.34,Standard Class
SH-006789,73107,2017-12-06 04:17:00,Pacific Asia · Southeast Asia,Sporting Goods,0,1,27203.25,Second Class
SH-019459,9075,2015-05-15 11:01:00,LATAM · Central America,Cleats,0,1,24895.85,First Class
SH-010440,13558,2015-07-19 21:37:00,Europe · Western Europe,Hockey,0,1,5478.0,First Class
SH-021755,69935,2017-10-23 20:59:00,Europe · Western Europe,Cameras ,0,1,37519.32,Standard Class
SH-019550,56826,2017-04-11 12:19:00,LATAM · South America,Men's Footwear,1,0,10789.17,Standard Class
SH-016685,41025,2016-08-27 20:32:00,USCA · East of USA,Women's Apparel,0,1,4150.0,Second Class
SH-018639,21297,2015-11-10 20:56:00,Pacific Asia · Oceania,Cleats,1,0,14937.51,Standard Class
SH-021037,29887,2016-03-15 06:23:00,Pacific Asia · Oceania,Indoor/Outdoor Games,1,0,12445.02,Standard Class
SH-006838,14961,2015-08-09 09:09:00,Europe · Western Europe,Water Sports,1,0,16599.17,Standard Class
SH-019898,43775,2016-10-06 23:58:00,Other,Cleats,0,1,14937.51,Second Class
SH-011219,14248,2015-07-31 23:21:00,Europe · Western Europe,Cardio Equipment,1,0,41495.85,Standard Class
SH-006906,11015,2015-06-16 18:41:00,Europe · Northern Europe,Men's Footwear,0,1,10789.17,Standard Class
SH-017149,21927,2015-11-17 13:39:00,Pacific Asia · South Asia,Cleats,1,0,9958.34,Same Day
SH-014559,64730,2017-08-03 09:27:00,Europe · Southern Europe,Baseball & Softball,1,0,13279.17,Same Day
SH-006820,39876,2016-08-07 01:59:00,Other,Cleats,1,0,14937.51,Standard Class
SH-010081,26549,2016-01-28 12:56:00,Pacific Asia · Oceania,Men's Footwear,0,1,10789.17,Second Class
SH-001576,11016,2015-06-12 19:02:00,Europe · Northern Europe,Fishing,1,0,33198.34,Standard Class
SH-015823,25145,2016-01-09 01:03:00,Pacific Asia · Southeast Asia,Cleats,0,1,24895.85,Standard Class
SH-019443,4988,2015-03-16 19:10:00,LATAM · Central America,Women's Apparel,0,1,4150.0,First Class
SH-019262,45468,2016-10-29 17:06:00,Other,Women's Apparel,1,0,4150.0,Standard Class
SH-001742,21873,2015-11-20 06:44:00,Pacific Asia · Oceania,Men's Footwear,1,0,10789.17,Standard Class
SH-000156,54098,2017-03-02 16:35:00,LATAM · Central America,Cardio Equipment,0,1,8299.17,First Class
SH-018895,49636,2016-12-27 13:21:00,Other,Fishing,0,1,33198.34,First Class
SH-003527,16397,2015-08-31 08:14:00,Europe · Southern Europe,Cleats,0,1,14937.51,Second Class
SH-020379,35527,2016-06-05 14:20:00,Other,Women's Apparel,1,0,8300.0,Standard Class
SH-011702,42670,2016-09-20 20:51:00,Other,Water Sports,0,1,16599.17,Standard Class
SH-004490,29928,2016-03-16 20:45:00,Pacific Asia · Eastern Asia,Women's Apparel,1,0,16600.0,Standard Class
