sku,category,units,revenue,avg_price,daily_demand,days_of_cover,on_hand,inventory_turns,stock_status,value_inr
Under Armour Men's Compression EV SL Slide,Electronics,813,36576.87057466,44.99000168,2.2273972602739724,72.0,160.0,5.07,Overstock,597467.22
TYR Boys' Team Digi Jammer,Girls' Apparel,880,35191.2006334,39.99000168,2.410958904109589,27.0,65.0,13.52,Healthy,215746.06
Clicgear Rovic Cooler Bag,Golf Gloves,867,34671.33045858,39.99000168,2.3753424657534246,33.0,78.0,11.06,Healthy,258895.27
Fighting video games,Video Games,838,33310.5,39.75,2.2958904109589042,52.0,119.0,7.02,Healthy,392610.75
SOLE E35 Elliptical,Strength Training,15,29999.84985,1999.9899899999998,0.0410958904109589,29.0,1.0,12.59,Healthy,165999.17
ENO Atlas Hammock Straps,Hunting & Shooting,998,29930.019742160002,29.989999769999997,2.734246575342466,31.0,85.0,11.77,Healthy,211579.45
Bridgestone e6 Straight Distance NFL Carolina,Electronics,928,29686.71978552,31.98999977,2.5424657534246577,59.0,150.0,6.19,Healthy,398275.5
Under Armour Hustle Storm Medium Duffle Bag,Fitness Accessories,846,29601.54064158,34.99000168,2.317808219178082,77.0,178.0,4.74,Overstock,516942.28
Under Armour Women's Ignite Slide,Electronics,919,29398.80977828,31.98999977,2.5178082191780824,54.0,136.0,6.76,Healthy,361103.12
Bridgestone e6 Straight Distance NFL San Dieg,Electronics,906,28982.93982142,31.98999977,2.4821917808219176,41.0,102.0,8.9,Healthy,270827.34
Columbia Men's PFG Anchor Tough T-Shirt,Shop By Sport,928,27840.0,30.0,2.5424657534246577,83.0,211.0,4.4,Overstock,525390.0
adidas Kids' F5 Messi FG Soccer Cleat,Baseball & Softball,781,27327.19054016,34.99000168,2.1397260273972605,87.0,186.0,4.2,Overstock,540175.65
Nike Men's Deutschland Weltmeister Winners Bl,Girls' Apparel,907,27210.0,30.0,2.484931506849315,38.0,94.0,9.61,Healthy,234060.0
Nike Women's Tempo Shorts,Cardio Equipment,907,27210.0,30.0,2.484931506849315,90.0,224.0,4.06,Overstock,557760.0
Under Armour Women's Ignite PIP VI Slide,Electronics,848,27127.519792220002,31.989999770000004,2.3232876712328765,18.0,42.0,20.28,Healthy,111517.14
Bridgestone e6 Straight Distance NFL Tennesse,Electronics,805,25751.94975595,31.98999977,2.2054794520547945,82.0,181.0,4.45,Overstock,480585.77
Team Golf St. Louis Cardinals Putter Grip,Accessories,958,23940.41977515,24.98999977,2.6246575342465754,43.0,113.0,8.49,Healthy,234381.21
Team Golf Tennessee Volunteers Putter Grip,Accessories,915,22865.849746840002,24.98999977,2.506849315068493,79.0,198.0,4.62,Overstock,410685.66
LIJA Women's Mid-Length Panel Golf Shorts,Golf Shoes,227,22700.0,100.0,0.6219178082191781,68.0,42.0,5.37,Overstock,348600.0
Team Golf Texas Longhorns Putter Grip,Accessories,895,22366.049832380002,24.98999977,2.452054794520548,59.0,145.0,6.19,Healthy,300754.65
Under Armour Kids' Mercenary Slide,Electronics,795,22252.04978358,27.98999977,2.1780821917808217,60.0,131.0,6.08,Healthy,304335.27
Team Golf Pittsburgh Steelers Putter Grip,Accessories,887,22166.12984186,24.98999977,2.43013698630137,20.0,49.0,18.25,Healthy,101634.33
Team Golf San Francisco Giants Putter Grip,Accessories,871,21766.2898108,24.98999977,2.3863013698630136,10.0,24.0,36.5,Healthy,49780.08
adidas Men's Germany Black Crest Away Tee,Girls' Apparel,859,21475.0,25.0,2.3534246575342466,33.0,78.0,11.06,Healthy,161850.0
Bag Boy Beverage Holder,Golf Gloves,845,21116.549776390002,24.98999977,2.315068493150685,5.0,12.0,73.0,Risk-stockout,24890.04
Under Armour Men's Tech II T-Shirt,Lacrosse,835,20866.649801890002,24.98999977,2.287671232876712,64.0,146.0,5.7,Overstock,302828.82
Merrell Women's Grassbow Sport Hiking Shoe,Men's Golf Clubs,207,20697.92999222,99.98999786,0.5671232876712329,82.0,47.0,4.45,Overstock,390060.98
Nike Men's Free TR 5.0 TB Training Shoe,As Seen on  TV!,206,20597.93996418,99.98999786,0.5643835616438356,80.0,45.0,4.56,Overstock,373462.64
Team Golf New England Patriots Putter Grip,Accessories,823,20566.76981798,24.98999977,2.254794520547945,44.0,99.0,8.3,Healthy,205342.83
Glove It Women's Mod Oval 3-Zip Carry All Gol,Trade-In,930,20450.69974701,21.98999977,2.547945205479452,49.0,125.0,7.45,Healthy,228146.25
Nike Women's Legend V-Neck T-Shirt,Hockey,801,20025.0,25.0,2.1945205479452055,55.0,121.0,6.64,Healthy,251075.0
Nike Women's Free 5.0 TR FIT PRT 4 Training S,Boxing & MMA,206,19567.940017240002,94.98999786,0.5643835616438356,13.0,7.0,28.08,Healthy,55189.19
Nike Dri-FIT Crew Sock 6 Pack,Hockey,883,19426.0,22.0,2.419178082191781,35.0,85.0,10.43,Healthy,155210.0
TaylorMade White Smoke IN-12 Putter,Women's Golf Clubs,193,19298.06989294,99.98999786,0.5287671232876713,17.0,9.0,21.47,Healthy,74692.53
Garmin Approach S3 Golf GPS Watch,Trade-In,77,19249.2304235,249.99000550000002,0.21095890410958903,62.0,13.0,5.89,Overstock,269739.22
Brooks Women's Ghost 6 Running Shoe,Boxing & MMA,212,19077.88003532,89.98999786,0.5808219178082191,19.0,11.0,19.21,Healthy,82160.87
Glove It Women's Imperial Golf Glove,Golf Balls,941,18810.58979375,19.98999977,2.578082191780822,35.0,90.0,10.43,Healthy,149325.3
Fitbit The One Wireless Activity & Sleep Trac,Kids' Golf Clubs,187,18690.64982615,99.94999695,0.5123287671232877,77.0,39.0,4.74,Overstock,323538.14
Nike Kids' Grade School KD VI Basketball Shoe,Lacrosse,186,18598.1399916,99.98999786,0.5095890410958904,24.0,12.0,15.21,Healthy,99590.04
Elevation Training Mask 2.0,Soccer,231,18477.6899717,79.98999786,0.6328767123287671,31.0,20.0,11.77,Healthy,132783.4
The North Face Women's Recon Backpack,Hunting & Shooting,181,17919.0,99.0,0.4958904109589041,16.0,8.0,22.81,Healthy,65736.0
Top Flite Women's 2014 XL Hybrid,Golf Apparel,887,17731.12981181,19.98999977,2.43013698630137,13.0,32.0,28.08,Healthy,53093.44
Polar FT4 Heart Rate Monitor,Kids' Golf Clubs,196,17638.04005408,89.98999786,0.536986301369863,28.0,15.0,13.04,Healthy,112037.55
Bag Boy M330 Push Cart,Golf Gloves,208,16637.919929480002,79.98999786,0.5698630136986301,18.0,10.0,20.28,Healthy,66391.7
Glove It Women's Mod Oval Golf Glove,Golf Balls,802,16031.97982176,19.98999977,2.197260273972603,52.0,114.0,7.02,Healthy,189145.38
Hirzl Women's Soffft Flex Golf Glove,Golf Balls,889,15993.10980566,17.98999977,2.4356164383561643,57.0,139.0,6.4,Healthy,207550.63
LIJA Women's Argyle Golf Polo,Golf Shoes,195,15600.0,80.0,0.5342465753424658,85.0,45.0,4.29,Overstock,298800.0
Glove It Imperial Golf Towel,Trade-In,930,14870.69978864,15.98999977,2.547945205479452,38.0,97.0,9.61,Healthy,128735.49
Glove It Urban Brick Golf Towel,Trade-In,885,14151.14979326,15.98999977,2.4246575342465753,28.0,68.0,13.04,Healthy,90247.56
Garmin Forerunner 910XT GPS Watch,Kids' Golf Clubs,35,13999.649657,399.9899902,0.0958904109589041,29.0,3.0,12.59,Healthy,99597.51
Pelican Maverick 100X Kayak,Water Sports,40,13999.599608,349.9899902,0.1095890410958904,81.0,9.0,4.51,Overstock,261442.52
Cleveland Golf Collegiate My Custom Wedge 588,Women's Golf Clubs,65,13649.3503575,209.9900055,0.1780821917808219,80.0,14.0,4.56,Overstock,244008.39
Titleist Small Wheeled Travel Cover,Golf Gloves,54,13499.460297,249.9900055,0.14794520547945206,42.0,6.0,8.69,Healthy,124495.02
Mio ALPHA Heart Rate Monitor/Sport Watch,Kids' Golf Clubs,67,13333.0,199.0,0.18356164383561643,36.0,7.0,10.14,Healthy,115619.0
Hirzl Women's Hybrid Golf Glove,Golf Balls,888,13311.11981353,14.98999977,2.4328767123287673,31.0,75.0,11.77,Healthy,93312.75
Hirzl Men's Hybrid Golf Glove,Golf Balls,864,12951.35980753,14.98999977,2.367123287671233,58.0,137.0,6.29,Healthy,170451.29
GoPro HERO3+ Black Edition Camera,Strength Training,32,12799.6796864,399.9899902,0.08767123287671233,65.0,6.0,5.62,Overstock,199195.02
Nike Men's Kobe IX Elite Low Basketball Shoe,Shop By Sport,63,12599.3703465,199.9900055,0.1726027397260274,39.0,7.0,9.36,Healthy,116194.19
Sports Books ,Books ,405,12587.3999676,31.079999920000002,1.1095890410958904,22.0,24.0,16.59,Healthy,61911.36
Baby sweater,Baby ,207,12229.56037881,59.08000183,0.5671232876712329,50.0,28.0,7.3,Healthy,137301.92
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,Strength Training,64,12096.0,189.0,0.17534246575342466,58.0,10.0,6.29,Healthy,156870.0
GolfBuddy VT3 GPS Watch,Kids' Golf Clubs,59,11799.4103245,199.99000550000002,0.16164383561643836,8.0,1.0,45.62,Healthy,16599.17
TaylorMade 2014 Purelite Stand Bag,Golf Gloves,65,11699.3503575,179.9900055,0.1780821917808219,9.0,2.0,40.56,Healthy,29878.34
MDGolf Pittsburgh Penguins Putter,Women's Golf Clubs,145,11598.549881160001,79.98999786,0.3972602739726027,67.0,27.0,5.45,Overstock,179257.59
Garmin Approach S4 Golf GPS Watch,Kids' Golf Clubs,36,10799.639647200001,299.9899902,0.09863013698630137,33.0,3.0,11.06,Healthy,74697.51
Total Gym 1400,Cleats,36,10799.639647200001,299.9899902,0.09863013698630137,80.0,8.0,4.56,Overstock,199193.35
adidas Brazuca 2014 Official Match Ball,Baseball & Softball,65,10399.3503575,159.9900055,0.1780821917808219,42.0,7.0,8.69,Healthy,92954.19
Ogio Race Golf Shoes,Golf Bags & Carts,61,10369.3903355,169.9900055,0.16712328767123288,31.0,5.0,11.77,Healthy,70545.85
Titleist Club Glove Travel Cover,Golf Gloves,34,10199.6596668,299.9899902,0.09315068493150686,20.0,2.0,18.25,Healthy,49798.34
SOLE E25 Elliptical,Basketball,10,9999.899902,999.9899902,0.0273972602739726,32.0,1.0,11.41,Healthy,82999.17
Merrell Women's Siren Mid Waterproof Hiking B,Men's Golf Clubs,70,9449.300385,134.9900055,0.1917808219178082,74.0,14.0,4.93,Overstock,156858.39
Merrell Men's All Out Flash Trail Running Sho,Men's Golf Clubs,85,9349.149821500001,109.9899979,0.2328767123287671,8.0,2.0,45.62,Healthy,18258.34
insta-bed Neverflat Air Mattress,Hunting & Shooting,60,8999.40033,149.9900055,0.1643835616438356,89.0,15.0,4.1,Overstock,186737.56
Stiga Master Series ST3100 Competition Indoor,Hockey,27,8909.7297354,329.9899902,0.07397260273972603,73.0,5.0,5.0,Overstock,136945.85
Clicgear 8.0 Shoe Brush,Golf Gloves,888,8871.119937156,9.989999771,2.4328767123287673,39.0,95.0,9.36,Healthy,78771.15
TaylorMade Women's RBZ SL Rescue,Golf Apparel,68,8839.320373999999,129.9900055,0.1863013698630137,22.0,4.0,16.59,Healthy,43156.68
Diamondback Boys' Insight 24 Performance Hybr,Basketball,29,8699.709715800002,299.9899902000001,0.07945205479452055,80.0,6.0,4.56,Overstock,149395.02
Diamondback Girls' Clarity 24 Hybrid Bike 201,Basketball,28,8399.7197256,299.9899902,0.07671232876712329,72.0,6.0,5.07,Overstock,149395.02
Cleveland Golf Women's 588 RTX CB Satin Chrom,Golf Apparel,70,8399.299853,119.9899979,0.1917808219178082,28.0,5.0,13.04,Healthy,49795.85
LIJA Women's Button Golf Dress,Golf Shoes,76,8208.0,108.0,0.20821917808219179,79.0,16.0,4.62,Overstock,143424.0
Nike Men's Fingertrap Max Training Shoe,Soccer,64,7999.3598656,124.9899979,0.17534246575342466,82.0,14.0,4.45,Overstock,145238.38
Merrell Women's Grassbow Sport Waterproof Hik,Men's Golf Clubs,58,7539.420319,129.9900055,0.1589041095890411,49.0,8.0,7.45,Healthy,86313.36
Bushnell Pro X7 Jolt Slope Rangefinder,Kids' Golf Clubs,11,6599.8898922,599.9899902,0.030136986301369864,37.0,1.0,9.86,Healthy,49799.17
Toys ,Toys,529,6104.65997884,11.53999996,1.4493150684931506,20.0,29.0,18.25,Healthy,27776.78
Bowflex SelectTech 1090 Dumbbells,Fitness Accessories,10,5999.899901999999,599.9899902,0.0273972602739726,89.0,2.0,4.1,Overstock,99598.34
Polar Loop Activity Tracker,Kids' Golf Clubs,54,5937.2998326,109.94999689999999,0.14794520547945206,83.0,12.0,4.4,Overstock,109510.2
CDs of rock,CDs ,271,3059.5899891599997,11.28999996,0.7424657534246575,57.0,42.0,6.4,Healthy,39356.94
