session_id,channel,viewed,added,checkout,paid,abandon_reason
S-000110,Web,1,0,0,0,
S-000111,Web,1,1,1,1,
S-000112,Web,1,0,0,0,
S-000113,Web,1,1,1,1,
S-000114,Web,1,1,0,0,stock_out
S-000115,Web,1,1,1,1,
S-000116,App,1,1,1,1,
S-000117,Web,1,1,1,1,
S-000118,Web,1,1,0,0,stock_out
S-000119,Web,1,1,1,1,
S-000120,Store,1,0,0,0,
S-000121,App,1,1,1,1,
S-000122,App,1,1,1,1,
S-000123,Web,1,1,0,0,shipping_cost
S-000124,App,1,0,0,0,
S-000125,App,1,0,0,0,
S-000126,Web,1,1,1,1,
S-000127,Web,1,1,1,1,
S-000128,Web,1,1,1,1,
S-000129,Web,1,1,1,1,
S-000130,Web,1,0,0,0,
S-000131,Store,1,1,1,1,
S-000132,App,1,1,1,1,
S-000133,Web,1,0,0,0,
S-000134,Web,1,1,1,1,
S-000135,Web,1,1,0,0,shipping_cost
S-000136,App,1,1,0,0,changed_mind
S-000137,App,1,0,0,0,
S-000138,Web,1,1,1,1,
S-000139,Web,1,1,1,1,
S-000140,Web,1,1,0,0,payment_fail
S-000141,Web,1,0,0,0,
S-000142,App,1,1,0,0,payment_fail
S-000143,Web,1,0,0,0,
S-000144,Web,1,1,1,1,
S-000145,App,1,1,0,0,payment_fail
S-000146,Web,1,1,1,1,
S-000147,Web,1,1,0,0,stock_out
S-000148,Web,1,1,0,0,changed_mind
S-000149,App,1,1,1,1,
S-000150,Web,1,0,0,0,
S-000151,App,1,0,0,0,
S-000152,App,1,0,0,0,
S-000153,Web,1,1,1,1,
S-000154,App,1,0,0,0,
S-000155,Web,1,1,0,0,stock_out
S-000156,Web,1,0,0,0,
S-000157,Web,1,1,0,0,stock_out
S-000158,Web,1,0,0,0,
S-000159,Web,1,1,0,0,shipping_cost
S-000160,App,1,1,1,1,
S-000161,Web,1,0,0,0,
S-000162,Store,1,1,1,1,
S-000163,Web,1,1,0,0,changed_mind
S-000164,App,1,1,0,0,payment_fail
S-000165,App,1,1,1,1,
S-000166,Web,1,1,0,0,payment_fail
S-000167,Web,1,1,0,0,changed_mind
S-000168,Web,1,1,0,0,shipping_cost
S-000169,App,1,1,1,1,
S-000170,Web,1,0,0,0,
S-000171,Web,1,1,0,0,changed_mind
S-000172,Web,1,1,1,1,
S-000173,App,1,0,0,0,
S-000174,Web,1,1,0,0,stock_out
S-000175,Web,1,1,0,0,changed_mind
S-000176,App,1,1,0,0,changed_mind
S-000177,Web,1,1,0,0,changed_mind
S-000178,App,1,0,0,0,
S-000179,Web,1,1,1,1,
S-000180,Web,1,0,0,0,
S-000181,Web,1,1,1,1,
S-000182,Web,1,0,0,0,
S-000183,App,1,1,1,1,
S-000184,Web,1,1,0,0,shipping_cost
S-000185,Web,1,0,0,0,
S-000186,App,1,1,1,1,
S-000187,Store,1,1,1,1,
S-000188,Web,1,1,0,0,payment_fail
S-000189,Web,1,0,0,0,
S-000190,App,1,0,0,0,
S-000191,Store,1,0,0,0,
S-000192,Web,1,0,0,0,
S-000193,Web,1,0,0,0,
S-000194,Web,1,1,1,1,
S-000195,Web,1,1,1,1,
S-000196,Web,1,1,1,1,
S-000197,Store,1,1,1,1,
S-000198,Store,1,1,1,1,
S-000199,Store,1,0,0,0,
S-000200,App,1,0,0,0,
S-000201,Store,1,1,1,1,
S-000202,App,1,1,0,0,shipping_cost
S-000203,Web,1,0,0,0,
S-000204,Web,1,0,0,0,
S-000205,App,1,1,1,1,
S-000206,Web,1,1,0,0,payment_fail
S-000207,Web,1,0,0,0,
S-000208,App,1,1,1,1,
S-000209,Web,1,1,0,0,shipping_cost
S-000210,Web,1,1,1,1,
S-000211,App,1,1,1,1,
S-000212,App,1,1,0,0,checkout_friction
S-000213,Web,1,1,0,0,payment_fail
S-000214,Web,1,0,0,0,
S-000215,Web,1,1,1,1,
S-000216,Store,1,1,0,0,payment_fail
S-000217,Web,1,0,0,0,
S-000218,Store,1,0,0,0,
S-000219,App,1,1,1,1,
S-000220,Web,1,1,0,0,shipping_cost
S-000221,Web,1,0,0,0,
S-000222,Web,1,1,1,1,
S-000223,App,1,1,1,1,
S-000224,Web,1,1,0,0,shipping_cost
S-000225,App,1,1,0,0,changed_mind
S-000226,App,1,1,0,0,changed_mind
S-000227,Web,1,1,1,1,
S-000228,App,1,0,0,0,
S-000229,App,1,0,0,0,
S-000230,Web,1,1,0,0,stock_out
S-000231,Web,1,1,0,0,changed_mind
S-000232,Web,1,1,1,1,
S-000233,Web,1,1,0,0,shipping_cost
S-000234,Web,1,0,0,0,
S-000235,Web,1,0,0,0,
S-000236,Web,1,0,0,0,
S-000237,Web,1,1,0,0,stock_out
S-000238,App,1,1,1,1,
S-000239,Web,1,1,0,0,payment_fail
S-000240,App,1,1,0,0,payment_fail
S-000241,Web,1,1,0,0,payment_fail
S-000242,Web,1,1,1,1,
S-000243,App,1,0,0,0,
S-000244,App,1,1,1,1,
S-000245,Web,1,1,1,1,
S-000246,App,1,1,0,0,stock_out
S-000247,Web,1,0,0,0,
S-000248,App,1,1,0,0,shipping_cost
S-000249,App,1,0,0,0,
S-000250,App,1,0,0,0,
S-000251,App,1,1,1,1,
S-000252,Web,1,0,0,0,
S-000253,Store,1,1,0,0,payment_fail
S-000254,App,1,0,0,0,
S-000255,App,1,0,0,0,
S-000256,Web,1,1,0,0,changed_mind
S-000257,App,1,1,0,0,payment_fail
S-000258,App,1,1,0,0,changed_mind
S-000259,Web,1,0,0,0,
S-000260,Web,1,1,1,1,
S-000261,Web,1,0,0,0,
S-000262,App,1,0,0,0,
S-000263,App,1,1,1,1,
S-000264,App,1,1,1,1,
S-000265,App,1,0,0,0,
S-000266,Web,1,1,1,1,
S-000267,Web,1,1,1,1,
S-000268,App,1,1,1,1,
S-000269,Web,1,1,0,0,shipping_cost
S-000270,Store,1,1,0,0,shipping_cost
S-000271,Web,1,0,0,0,
S-000272,App,1,0,0,0,
S-000273,App,1,0,0,0,
S-000274,Web,1,1,1,1,
S-000275,Web,1,1,0,0,shipping_cost
S-000276,Web,1,1,1,1,
S-000277,Web,1,1,0,0,changed_mind
S-000278,App,1,1,1,1,
S-000279,Web,1,1,1,1,
S-000280,Web,1,1,1,1,
S-000281,App,1,0,0,0,
S-000282,Store,1,1,1,1,
S-000283,Web,1,1,1,1,
S-000284,App,1,1,0,0,shipping_cost
S-000285,Web,1,0,0,0,
S-000286,App,1,0,0,0,
S-000287,Web,1,1,0,0,payment_fail
S-000288,App,1,1,1,1,
S-000289,App,1,1,1,1,
S-000290,App,1,0,0,0,
S-000291,Web,1,0,0,0,
S-000292,App,1,0,0,0,
S-000293,Web,1,0,0,0,
S-000294,Web,1,1,0,0,payment_fail
S-000295,App,1,1,0,0,checkout_friction
S-000296,Web,1,1,1,1,
S-000297,App,1,1,1,1,
S-000298,App,1,1,1,1,
S-000299,Web,1,0,0,0,
S-000300,Web,1,1,1,1,
S-000301,Web,1,0,0,0,
S-000302,Store,1,1,1,1,
S-000303,Web,1,1,1,1,
S-000304,Web,1,1,0,0,checkout_friction
S-000305,Store,1,1,0,0,changed_mind
S-000306,Web,1,1,1,1,
S-000307,App,1,0,0,0,
S-000308,Store,1,1,1,1,
S-000309,Web,1,1,1,1,
S-000310,Web,1,1,0,0,payment_fail
S-000311,App,1,1,1,1,
S-000312,App,1,1,0,0,checkout_friction
S-000313,Web,1,1,0,0,stock_out
S-000314,Web,1,1,0,0,stock_out
S-000315,App,1,1,0,0,shipping_cost
S-000316,Web,1,1,0,0,payment_fail
S-000317,Web,1,1,0,0,payment_fail
S-000318,App,1,1,0,0,checkout_friction
S-000319,App,1,1,0,0,shipping_cost
S-000320,App,1,0,0,0,
S-000321,Web,1,1,1,1,
S-000322,App,1,1,0,0,payment_fail
S-000323,App,1,1,1,1,
S-000324,Web,1,0,0,0,
S-000325,Web,1,1,1,1,
S-000326,App,1,1,1,1,
S-000327,Web,1,1,0,0,shipping_cost
S-000328,Web,1,1,1,1,
S-000329,App,1,1,1,1,
S-000330,App,1,1,0,0,changed_mind
S-000331,Web,1,1,0,0,payment_fail
S-000332,Web,1,1,1,1,
S-000333,Store,1,1,1,1,
S-000334,Web,1,0,0,0,
S-000335,Web,1,1,0,0,checkout_friction
S-000336,Web,1,0,0,0,
S-000337,App,1,0,0,0,
S-000338,Web,1,0,0,0,
S-000339,Web,1,1,1,1,
S-000340,Web,1,1,1,1,
S-000341,Web,1,0,0,0,
S-000342,App,1,1,1,1,
S-000343,App,1,1,0,0,stock_out
S-000344,App,1,1,0,0,stock_out
S-000345,Web,1,1,0,0,shipping_cost
S-000346,Web,1,1,0,0,changed_mind
S-000347,Web,1,1,1,1,
S-000348,Web,1,1,1,1,
S-000349,App,1,1,0,0,changed_mind
S-000350,Web,1,1,1,1,
S-000351,Web,1,0,0,0,
S-000352,Web,1,1,1,1,
S-000353,Store,1,0,0,0,
S-000354,Web,1,0,0,0,
S-000355,App,1,0,0,0,
S-000356,App,1,1,1,1,
S-000357,Web,1,1,0,0,changed_mind
S-000358,App,1,0,0,0,
S-000359,App,1,1,1,1,
S-000360,App,1,1,1,1,
S-000361,Store,1,0,0,0,
S-000362,Web,1,1,1,1,
S-000363,Web,1,1,0,0,payment_fail
S-000364,Web,1,1,0,0,shipping_cost
S-000365,Web,1,1,0,0,payment_fail
S-000366,App,1,1,0,0,shipping_cost
S-000367,Web,1,1,0,0,shipping_cost
S-000368,Web,1,1,0,0,payment_fail
S-000369,Web,1,1,1,1,
S-000370,Web,1,1,1,1,
S-000371,Store,1,1,1,1,
S-000372,App,1,1,0,0,payment_fail
S-000373,App,1,1,1,1,
S-000374,Web,1,1,1,1,
S-000375,App,1,1,0,0,changed_mind
S-000376,Web,1,0,0,0,
S-000377,Web,1,1,1,1,
S-000378,Web,1,1,0,0,payment_fail
S-000379,Store,1,1,1,1,
S-000380,Web,1,0,0,0,
S-000381,Web,1,1,0,0,checkout_friction
S-000382,App,1,1,1,1,
S-000383,App,1,1,0,0,changed_mind
S-000384,Web,1,0,0,0,
S-000385,App,1,1,1,1,
S-000386,Web,1,1,1,1,
S-000387,Web,1,1,1,1,
S-000388,App,1,1,0,0,shipping_cost
S-000389,App,1,1,1,1,
S-000390,Web,1,1,0,0,changed_mind
S-000391,App,1,1,1,1,
S-000392,App,1,1,0,0,payment_fail
S-000393,App,1,1,1,1,
S-000394,Web,1,0,0,0,
S-000395,Web,1,1,0,0,checkout_friction
S-000396,Web,1,1,0,0,shipping_cost
S-000397,Web,1,1,1,1,
S-000398,App,1,1,1,1,
S-000399,App,1,1,1,1,
S-000400,App,1,1,1,1,
S-000401,Web,1,1,1,1,
S-000402,Web,1,1,0,0,stock_out
S-000403,App,1,1,1,1,
S-000404,Store,1,1,0,0,payment_fail
S-000405,App,1,1,1,1,
S-000406,Web,1,0,0,0,
S-000407,Web,1,1,1,1,
S-000408,Web,1,0,0,0,
S-000409,App,1,1,1,1,
S-000410,Web,1,1,1,1,
S-000411,Web,1,0,0,0,
S-000412,Web,1,1,1,1,
S-000413,Web,1,1,0,0,shipping_cost
S-000414,Web,1,1,1,1,
S-000415,Web,1,1,1,1,
S-000416,Web,1,1,1,1,
S-000417,Web,1,1,0,0,shipping_cost
S-000418,App,1,1,0,0,checkout_friction
S-000419,Web,1,1,1,1,
S-000420,App,1,1,0,0,changed_mind
S-000421,Store,1,1,1,1,
S-000422,Web,1,0,0,0,
S-000423,Web,1,1,1,1,
S-000424,Web,1,1,1,1,
S-000425,Web,1,1,0,0,shipping_cost
S-000426,Web,1,1,1,1,
S-000427,App,1,1,0,0,payment_fail
S-000428,Web,1,1,1,1,
S-000429,App,1,0,0,0,
S-000430,App,1,1,1,1,
S-000431,Web,1,1,0,0,shipping_cost
S-000432,Web,1,1,1,1,
S-000433,Web,1,1,1,1,
S-000434,App,1,0,0,0,
S-000435,App,1,1,1,1,
S-000436,App,1,0,0,0,
S-000437,Store,1,0,0,0,
S-000438,Web,1,1,1,1,
S-000439,Web,1,1,1,1,
S-000440,Web,1,1,0,0,changed_mind
S-000441,App,1,0,0,0,
S-000442,Store,1,1,1,1,
S-000443,Store,1,1,1,1,
S-000444,Store,1,0,0,0,
S-000445,Web,1,1,1,1,
S-000446,Web,1,1,1,1,
S-000447,App,1,1,0,0,shipping_cost
S-000448,App,1,1,1,1,
S-000449,Web,1,1,1,1,
S-000450,App,1,1,1,1,
S-000451,App,1,1,0,0,payment_fail
S-000452,Store,1,0,0,0,
S-000453,Web,1,1,0,0,stock_out
S-000454,Web,1,0,0,0,
S-000455,App,1,1,0,0,checkout_friction
S-000456,Web,1,0,0,0,
S-000457,Web,1,1,0,0,payment_fail
S-000458,App,1,1,1,1,
S-000459,App,1,1,1,1,
S-000460,Web,1,1,1,1,
S-000461,Web,1,1,0,0,changed_mind
S-000462,App,1,1,0,0,payment_fail
S-000463,Web,1,1,0,0,changed_mind
S-000464,App,1,1,0,0,shipping_cost
S-000465,App,1,1,0,0,changed_mind
S-000466,Web,1,1,0,0,stock_out
S-000467,App,1,1,0,0,stock_out
S-000468,App,1,1,1,1,
S-000469,Web,1,1,0,0,payment_fail
S-000470,App,1,0,0,0,
S-000471,Web,1,1,1,1,
S-000472,Web,1,0,0,0,
S-000473,App,1,0,0,0,
S-000474,Web,1,1,1,1,
S-000475,Web,1,1,1,1,
S-000476,Web,1,1,0,0,checkout_friction
S-000477,Store,1,0,0,0,
S-000478,Store,1,0,0,0,
S-000479,Web,1,1,1,1,
S-000480,App,1,1,0,0,payment_fail
S-000481,App,1,1,1,1,
S-000482,Web,1,1,1,1,
S-000483,Web,1,1,1,1,
S-000484,Store,1,1,1,1,
S-000485,Web,1,1,1,1,
S-000486,Web,1,1,1,1,
S-000487,App,1,1,1,1,
S-000488,App,1,1,1,1,
S-000489,App,1,1,0,0,payment_fail
S-000490,Store,1,1,0,0,changed_mind
S-000491,Web,1,1,0,0,shipping_cost
S-000492,App,1,0,0,0,
S-000493,App,1,1,1,1,
S-000494,App,1,1,1,1,
S-000495,App,1,1,1,1,
S-000496,Store,1,1,1,1,
S-000497,Store,1,1,1,1,
S-000498,Web,1,0,0,0,
S-000499,Store,1,1,1,1,
S-000500,Web,1,1,1,1,
S-000501,Store,1,1,1,1,
S-000502,Web,1,1,1,1,
S-000503,App,1,0,0,0,
S-000504,App,1,1,1,1,
S-000505,App,1,1,1,1,
S-000506,Web,1,1,0,0,stock_out
S-000507,App,1,1,0,0,stock_out
S-000508,App,1,1,0,0,shipping_cost
S-000509,Web,1,1,1,1,
S-000510,Web,1,0,0,0,
S-000511,Web,1,1,1,1,
S-000512,Web,1,1,0,0,checkout_friction
S-000513,App,1,0,0,0,
S-000514,Web,1,1,0,0,shipping_cost
S-000515,Store,1,1,0,0,changed_mind
S-000516,Web,1,1,0,0,payment_fail
S-000517,Web,1,1,1,1,
S-000518,App,1,1,1,1,
S-000519,Web,1,1,0,0,checkout_friction
S-000520,Web,1,1,0,0,payment_fail
S-000521,Web,1,0,0,0,
S-000522,App,1,1,0,0,payment_fail
S-000523,Web,1,1,0,0,shipping_cost
S-000524,Web,1,0,0,0,
S-000525,Web,1,1,1,1,
S-000526,Store,1,1,1,1,
S-000527,Web,1,0,0,0,
S-000528,App,1,1,0,0,checkout_friction
S-000529,Store,1,1,1,1,
S-000530,Web,1,1,1,1,
S-000531,Store,1,1,0,0,checkout_friction
S-000532,App,1,0,0,0,
S-000533,Web,1,1,0,0,stock_out
S-000534,Web,1,1,0,0,checkout_friction
S-000535,App,1,0,0,0,
S-000536,Web,1,0,0,0,
S-000537,Web,1,1,0,0,checkout_friction
S-000538,Web,1,1,1,1,
S-000539,Web,1,0,0,0,
S-000540,Web,1,1,0,0,changed_mind
S-000541,Web,1,1,1,1,
S-000542,Web,1,1,0,0,shipping_cost
S-000543,Web,1,1,1,1,
S-000544,Web,1,1,0,0,stock_out
S-000545,Web,1,1,1,1,
S-000546,App,1,1,0,0,changed_mind
S-000547,Web,1,1,0,0,shipping_cost
S-000548,Store,1,0,0,0,
S-000549,Store,1,1,0,0,payment_fail
S-000550,Web,1,1,1,1,
S-000551,Web,1,1,1,1,
S-000552,Web,1,0,0,0,
S-000553,Web,1,1,0,0,stock_out
S-000554,Web,1,1,0,0,payment_fail
S-000555,App,1,0,0,0,
S-000556,Store,1,0,0,0,
S-000557,Store,1,1,1,1,
S-000558,App,1,0,0,0,
S-000559,Web,1,0,0,0,
S-000560,App,1,0,0,0,
S-000561,Web,1,1,0,0,checkout_friction
S-000562,Web,1,1,1,1,
S-000563,Web,1,1,0,0,payment_fail
S-000564,App,1,0,0,0,
S-000565,Store,1,1,0,0,payment_fail
S-000566,Web,1,0,0,0,
S-000567,Web,1,0,0,0,
S-000568,Web,1,0,0,0,
S-000569,Web,1,1,0,0,stock_out
S-000570,Web,1,1,1,1,
S-000571,Web,1,1,1,1,
S-000572,App,1,0,0,0,
S-000573,Web,1,1,0,0,payment_fail
S-000574,Web,1,1,1,1,
S-000575,Web,1,1,1,1,
S-000576,Web,1,1,1,1,
S-000577,App,1,1,0,0,payment_fail
S-000578,App,1,1,0,0,changed_mind
S-000579,Web,1,1,1,1,
S-000580,App,1,1,0,0,checkout_friction
S-000581,Web,1,1,1,1,
S-000582,Store,1,0,0,0,
S-000583,Web,1,1,1,1,
S-000584,Web,1,1,1,1,
S-000585,App,1,1,0,0,payment_fail
S-000586,Web,1,1,1,1,
S-000587,App,1,1,0,0,shipping_cost
S-000588,Web,1,1,0,0,stock_out
S-000589,Store,1,0,0,0,
S-000590,Web,1,1,0,0,checkout_friction
S-000591,App,1,0,0,0,
S-000592,Web,1,1,1,1,
S-000593,Web,1,1,1,1,
S-000594,Web,1,0,0,0,
S-000595,Store,1,0,0,0,
S-000596,Web,1,1,1,1,
S-000597,App,1,0,0,0,
S-000598,App,1,0,0,0,
S-000599,App,1,1,0,0,changed_mind
S-000600,Web,1,0,0,0,
S-000601,Web,1,1,1,1,
S-000602,Store,1,0,0,0,
S-000603,Web,1,0,0,0,
S-000604,Web,1,1,0,0,payment_fail
S-000605,Web,1,1,0,0,payment_fail
S-000606,App,1,0,0,0,
S-000607,Web,1,1,1,1,
S-000608,Web,1,0,0,0,
S-000609,Web,1,1,1,1,
S-000610,Web,1,1,1,1,
S-000611,Web,1,1,0,0,payment_fail
S-000612,Web,1,1,1,1,
S-000613,Web,1,1,1,1,
S-000614,App,1,1,1,1,
S-000615,Store,1,0,0,0,
S-000616,App,1,1,0,0,payment_fail
S-000617,App,1,1,1,1,
S-000618,Web,1,1,0,0,changed_mind
S-000619,Web,1,1,0,0,payment_fail
S-000620,App,1,1,0,0,changed_mind
S-000621,App,1,1,0,0,changed_mind
S-000622,Web,1,1,1,1,
S-000623,Web,1,1,0,0,changed_mind
S-000624,Web,1,1,1,1,
S-000625,Web,1,1,1,1,
S-000626,Web,1,1,1,1,
S-000627,Web,1,0,0,0,
S-000628,Web,1,1,1,1,
S-000629,Web,1,1,0,0,payment_fail
S-000630,Web,1,1,0,0,stock_out
S-000631,Web,1,1,0,0,stock_out
S-000632,App,1,1,1,1,
S-000633,App,1,1,1,1,
S-000634,App,1,0,0,0,
S-000635,Store,1,0,0,0,
S-000636,App,1,1,1,1,
S-000637,Web,1,0,0,0,
S-000638,Web,1,1,1,1,
S-000639,Web,1,1,1,1,
S-000640,App,1,0,0,0,
S-000641,Store,1,1,0,0,stock_out
S-000642,Web,1,1,0,0,payment_fail
S-000643,Web,1,1,1,1,
S-000644,Web,1,0,0,0,
S-000645,Web,1,1,1,1,
S-000646,Web,1,1,0,0,payment_fail
S-000647,Web,1,1,0,0,checkout_friction
S-000648,App,1,1,1,1,
S-000649,App,1,1,1,1,
S-000650,App,1,1,1,1,
S-000651,App,1,1,1,1,
S-000652,Web,1,1,0,0,shipping_cost
S-000653,Store,1,1,0,0,shipping_cost
S-000654,Web,1,1,1,1,
S-000655,App,1,1,0,0,shipping_cost
S-000656,Web,1,1,1,1,
S-000657,App,1,0,0,0,
S-000658,Store,1,0,0,0,
S-000659,Web,1,1,0,0,changed_mind
S-000660,Web,1,0,0,0,
S-000661,App,1,0,0,0,
S-000662,App,1,1,1,1,
S-000663,App,1,1,1,1,
S-000664,Store,1,1,0,0,checkout_friction
S-000665,Web,1,0,0,0,
S-000666,Web,1,1,1,1,
S-000667,App,1,1,0,0,shipping_cost
S-000668,Web,1,1,0,0,checkout_friction
S-000669,Web,1,1,0,0,payment_fail
S-000670,Web,1,1,0,0,changed_mind
S-000671,App,1,0,0,0,
S-000672,App,1,1,1,1,
S-000673,Web,1,0,0,0,
S-000674,App,1,1,1,1,
S-000675,Web,1,1,0,0,changed_mind
S-000676,Web,1,1,0,0,payment_fail
S-000677,Store,1,1,1,1,
S-000678,Web,1,0,0,0,
S-000679,Web,1,1,0,0,payment_fail
S-000680,App,1,0,0,0,
S-000681,Web,1,1,1,1,
S-000682,Web,1,1,1,1,
S-000683,Web,1,0,0,0,
S-000684,Store,1,1,1,1,
S-000685,Web,1,1,0,0,shipping_cost
S-000686,Web,1,0,0,0,
S-000687,App,1,1,0,0,checkout_friction
S-000688,Store,1,1,0,0,changed_mind
S-000689,Web,1,0,0,0,
S-000690,App,1,0,0,0,
S-000691,Web,1,1,1,1,
S-000692,App,1,1,1,1,
S-000693,App,1,0,0,0,
S-000694,App,1,1,1,1,
S-000695,Web,1,1,1,1,
S-000696,Web,1,0,0,0,
S-000697,Web,1,0,0,0,
S-000698,App,1,0,0,0,
S-000699,App,1,0,0,0,
S-000700,Web,1,1,1,1,
S-000701,Web,1,1,1,1,
S-000702,Web,1,0,0,0,
S-000703,Web,1,1,1,1,
S-000704,App,1,0,0,0,
S-000705,App,1,0,0,0,
S-000706,Web,1,0,0,0,
S-000707,Web,1,1,0,0,checkout_friction
S-000708,Store,1,0,0,0,
S-000709,Web,1,1,0,0,stock_out
S-000710,Web,1,1,1,1,
S-000711,App,1,0,0,0,
S-000712,Store,1,1,1,1,
S-000713,Store,1,1,0,0,shipping_cost
S-000714,Web,1,0,0,0,
S-000715,App,1,1,0,0,stock_out
S-000716,App,1,1,1,1,
S-000717,App,1,1,1,1,
S-000718,Web,1,0,0,0,
S-000719,App,1,1,1,1,
S-000720,Web,1,0,0,0,
S-000721,Store,1,1,1,1,
S-000722,Web,1,1,1,1,
S-000723,Web,1,1,0,0,payment_fail
S-000724,App,1,1,0,0,payment_fail
S-000725,Web,1,0,0,0,
S-000726,Web,1,1,1,1,
S-000727,Web,1,1,1,1,
S-000728,Web,1,1,1,1,
S-000729,Web,1,1,1,1,
S-000730,App,1,0,0,0,
S-000731,App,1,1,1,1,
S-000732,App,1,1,0,0,stock_out
S-000733,Store,1,1,1,1,
S-000734,App,1,1,1,1,
S-000735,App,1,1,0,0,stock_out
S-000736,Web,1,1,0,0,payment_fail
S-000737,App,1,1,0,0,changed_mind
S-000738,Web,1,1,1,1,
S-000739,Web,1,1,1,1,
S-000740,Store,1,1,0,0,changed_mind
S-000741,Store,1,1,1,1,
S-000742,Web,1,1,1,1,
S-000743,App,1,1,1,1,
S-000744,App,1,1,0,0,checkout_friction
S-000745,Web,1,1,1,1,
S-000746,Web,1,0,0,0,
S-000747,Web,1,0,0,0,
S-000748,App,1,1,1,1,
S-000749,Web,1,1,0,0,changed_mind
S-000750,Web,1,1,1,1,
S-000751,App,1,0,0,0,
S-000752,Web,1,1,0,0,shipping_cost
S-000753,Web,1,1,1,1,
S-000754,Web,1,1,0,0,shipping_cost
S-000755,Web,1,0,0,0,
S-000756,Web,1,1,0,0,shipping_cost
S-000757,App,1,1,1,1,
S-000758,App,1,0,0,0,
